disposition_id,profile_id,dimension,selected_value,selection_basis,seed_review_id,independent_review_id,submitted_low,submitted_high,comparison_status,recommendation_low,recommendation_high,historical_disposition,domain_review_id,owner_exception_id,source_ids,confidence,human_review_state,history_path,gap,revisit_trigger
sp-0001-s1-v1,sp-0001,S1,,no_selected_value,seed-sp-0001-v1,independent-sp-0001-v1,4,4,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0001-s2-v1,sp-0001,S2,,no_selected_value,seed-sp-0001-v1,independent-sp-0001-v1,3,3,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0001-s3-v1,sp-0001,S3,,no_selected_value,seed-sp-0001-v1,independent-sp-0001-v1,3,3,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0001-s4-v1,sp-0001,S4,,no_selected_value,seed-sp-0001-v1,independent-sp-0001-v1,4,4,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0001-s5-v1,sp-0001,S5,3,historical_provisional_selection,seed-sp-0001-v1,independent-sp-0001-v1,2,3,one_point_difference,,,selected_provisional_pending_named_expert,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/adjudication/targeted_s5_adjudication_v1.csv,"No exact-stage canonical source on mature-software architecture review, boundary independence, or pre-review rework severity.","Obtain a mature production-software architecture/change record identifying reviewer independence, rejection authority, review timing, and rework before approval."
sp-0002-s1-v1,sp-0002,S1,,no_selected_value,seed-sp-0002-v1,independent-sp-0002-v1,4,4,exact_agreement,,,exact_agreement,,,,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0002-s2-v1,sp-0002,S2,,no_selected_value,seed-sp-0002-v1,independent-sp-0002-v1,4,4,exact_agreement,,,exact_agreement,,,,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0002-s3-v1,sp-0002,S3,,no_selected_value,seed-sp-0002-v1,independent-sp-0002-v1,4,4,exact_agreement,,,exact_agreement,,,,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0002-s4-v1,sp-0002,S4,,no_selected_value,seed-sp-0002-v1,independent-sp-0002-v1,4,4,exact_agreement,,,exact_agreement,,,,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0002-s5-v1,sp-0002,S5,3,historical_provisional_selection,seed-sp-0002-v1,independent-sp-0002-v1,3,4,one_point_difference,,,selected_provisional_pending_named_expert,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/adjudication/targeted_s5_adjudication_v1.csv,No exact-stage canonical source on mature-software implementation rework or the independence and effectiveness of verification/change-control gates.,Obtain a mature codebase change history linking implementation errors to independently detected pre-release rework and escaped-defect paths.
sp-0003-s1-v1,sp-0003,S1,,no_selected_value,seed-sp-0003-v1,independent-sp-0003-v1,4,4,exact_agreement,,,exact_agreement,,,,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
