review_id,profile_id,coder_type,coder_role,coder_name,coder_model,S1,S2,S3,S4,S5,rationale,source_ids,coding_as_of,submitted_at,submission_status,notes
,sp-0001,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0002,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0003,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0004,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0005,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0006,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0007,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0008,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0009,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0010,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0011,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0012,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0013,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0014,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0015,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0016,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0017,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0018,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0019,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0020,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0021,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0022,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0023,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0024,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0025,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0026,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0027,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0028,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0029,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0030,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
,sp-0031,model,seed_proposer,fable,claude-fable-5,,,,,,,,,,,
