profile_id,stage_id,parent_stage_id,workflow,pathway_id,application_context,lifecycle_phase,seed_review_id,seed_coder_name,seed_coder_model,seed_S1,seed_S2,seed_S3,seed_S4,seed_S5,seed_confidence,seed_source_ids,independent_review_id,independent_coder_name,independent_coder_model,independent_reasoning_effort,independent_S1,independent_S2,independent_S3,independent_S4,independent_S5,independent_confidence,independent_source_ids,reason,owner_decision_required,status,domain_reviewer,notes
sp-0014,theory_and_system_design,concept_and_design,Theory and system design,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,seed-sp-0014-v1,Claude Code,claude-opus-5,4,3,3,4,3,medium,,independent-sp-0014-v1,Codex,gpt-5.6,extra_high,4,2,3,4,2,medium,,fusion_requires_domain_informed_review,false,pending,,
sp-0015,simulation,digital_experiment_loop,Simulation,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,seed-sp-0015-v1,Claude Code,claude-opus-5,4,3,3,4,4,high,,independent-sp-0015-v1,Codex,gpt-5.6,extra_high,4,3,3,4,3,high,,fusion_requires_domain_informed_review,false,pending,,
sp-0016,experiment_selection,digital_experiment_loop,Experiment selection,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,seed-sp-0016-v1,Claude Code,claude-opus-5,4,1,1,3,2,medium,,independent-sp-0016-v1,Codex,gpt-5.6,extra_high,4,2,2,4,2,low,,fusion_requires_domain_informed_review,false,pending,,
sp-0017,diagnostics,plasma_operations,Diagnostics,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,seed-sp-0017-v1,Claude Code,claude-opus-5,3,2,2,2,2,medium,,independent-sp-0017-v1,Codex,gpt-5.6,extra_high,2,2,1,2,2,low,,fusion_requires_domain_informed_review,false,pending,,
sp-0018,plasma_control,plasma_operations,Plasma control,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,seed-sp-0018-v1,Claude Code,claude-opus-5,3,2,1,2,1,medium,,independent-sp-0018-v1,Codex,gpt-5.6,extra_high,2,3,1,2,1,low,,fusion_requires_domain_informed_review,false,pending,,
sp-0019,materials_discovery_and_screening,materials,Materials discovery and screening,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,seed-sp-0019-v1,Claude Code,claude-opus-5,3,2,2,2,3,medium,,independent-sp-0019-v1,Codex,gpt-5.6,extra_high,2,2,2,2,3,low,,fusion_requires_domain_informed_review,false,pending,,
sp-0020,materials_qualification,materials,Materials qualification,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",qualification,seed-sp-0020-v1,Claude Code,claude-opus-5,1,0,1,0,1,high,,independent-sp-0020-v1,Codex,gpt-5.6,extra_high,0,0,0,0,0,medium,,fusion_requires_domain_informed_review,false,pending,,
sp-0021,magnets,plant_subsystems,Magnets,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,seed-sp-0021-v1,Claude Code,claude-opus-5,2,1,1,1,1,medium,,independent-sp-0021-v1,Codex,gpt-5.6,extra_high,2,1,1,1,1,low,,fusion_requires_domain_informed_review,false,pending,,
sp-0022,heating_and_current_drive,plant_subsystems,Heating and current drive,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,seed-sp-0022-v1,Claude Code,claude-opus-5,2,2,1,2,1,medium,,independent-sp-0022-v1,Codex,gpt-5.6,extra_high,2,1,1,1,1,low,,fusion_requires_domain_informed_review,false,pending,,
sp-0023,plasma_facing_components,plant_subsystems,Plasma-facing components,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,seed-sp-0023-v1,Claude Code,claude-opus-5,2,1,1,1,2,medium,,independent-sp-0023-v1,Codex,gpt-5.6,extra_high,2,1,1,1,1,low,,fusion_requires_domain_informed_review,false,pending,,
sp-0024,tritium_and_fuel_cycle,plant_subsystems,Tritium and fuel cycle,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,seed-sp-0024-v1,Claude Code,claude-opus-5,1,1,1,1,1,low,,independent-sp-0024-v1,Codex,gpt-5.6,extra_high,1,1,0,1,0,low,,fusion_requires_domain_informed_review,false,pending,,
sp-0025,blankets,plant_subsystems,Blankets,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,seed-sp-0025-v1,Claude Code,claude-opus-5,2,0,1,1,1,low,,independent-sp-0025-v1,Codex,gpt-5.6,extra_high,2,1,1,1,0,low,,fusion_requires_domain_informed_review,false,pending,,
sp-0026,component_fabrication,build,Component fabrication,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",scale_up,seed-sp-0026-v1,Claude Code,claude-opus-5,1,1,1,0,1,medium,,independent-sp-0026-v1,Codex,gpt-5.6,extra_high,0,1,0,0,1,medium,,fusion_requires_domain_informed_review,false,pending,,
sp-0027,construction,build,Construction,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",demonstration,seed-sp-0027-v1,Claude Code,claude-opus-5,0,0,0,0,1,high,,independent-sp-0027-v1,Codex,gpt-5.6,extra_high,0,0,0,0,1,high,,fusion_requires_domain_informed_review,false,pending,,
sp-0028,commissioning,demonstration_and_assurance,Commissioning,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",demonstration,seed-sp-0028-v1,Claude Code,claude-opus-5,1,1,1,0,1,medium,,independent-sp-0028-v1,Codex,gpt-5.6,extra_high,1,1,0,0,0,low,,fusion_requires_domain_informed_review,false,pending,,
sp-0029,reliability_demonstration,demonstration_and_assurance,Reliability demonstration,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",demonstration,seed-sp-0029-v1,Claude Code,claude-opus-5,0,0,0,0,1,medium,,independent-sp-0029-v1,Codex,gpt-5.6,extra_high,0,0,0,0,0,high,,fusion_requires_domain_informed_review,false,pending,,
sp-0030,licensing,approval_and_connection,Licensing,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",qualification,seed-sp-0030-v1,Claude Code,claude-opus-5,3,1,1,3,2,low,,independent-sp-0030-v1,Codex,gpt-5.6,extra_high,4,0,0,4,0,medium,,fusion_requires_domain_informed_review,false,pending,,
sp-0031,grid_integration,approval_and_connection,Grid integration,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",demonstration,seed-sp-0031-v1,Claude Code,claude-opus-5,2,1,1,1,1,low,,independent-sp-0031-v1,Codex,gpt-5.6,extra_high,2,1,0,0,0,low,,fusion_requires_domain_informed_review,false,pending,,
