profile_id,stage_id,workflow,pathway_id,lifecycle_phase,priority_route,S1_status,S1_load_bearing_claim,S1_best_candidate_source_ids,S1_evidence_maturity,S1_missingness_reason,S1_next_action,S2_status,S2_load_bearing_claim,S2_best_candidate_source_ids,S2_evidence_maturity,S2_missingness_reason,S2_next_action,S3_status,S3_load_bearing_claim,S3_best_candidate_source_ids,S3_evidence_maturity,S3_missingness_reason,S3_next_action,S4_status,S4_load_bearing_claim,S4_best_candidate_source_ids,S4_evidence_maturity,S4_missingness_reason,S4_next_action,S5_status,S5_load_bearing_claim,S5_best_candidate_source_ids,S5_evidence_maturity,S5_missingness_reason,S5_next_action
sp-0014,theory_and_system_design,Theory and system design,tokamak_research_to_pilot_plant_demonstration,research,routine,indirectly supported/analogy,The verified source set informs information intensity for Theory and system design only by bounded analogy or adjacent-stage evidence.,fusion-src-024;fusion-src-025;fusion-src-028,official programme evidence only,only_adjacent_stage_or_pathway_evidence_located,seek_stage_and_lifecycle_matched_primary_evidence,indirectly supported/analogy,The verified source set informs feedback speed for Theory and system design only by bounded analogy or adjacent-stage evidence.,fusion-src-024;fusion-src-025;fusion-src-028,official programme evidence only,only_adjacent_stage_or_pathway_evidence_located,seek_stage_and_lifecycle_matched_primary_evidence,indirectly supported/analogy,The verified source set informs experiment affordability and throughput for Theory and system design only by bounded analogy or adjacent-stage evidence.,fusion-src-024;fusion-src-025;fusion-src-028,official programme evidence only,only_adjacent_stage_or_pathway_evidence_located,seek_stage_and_lifecycle_matched_primary_evidence,contradicted or complicated,The verified source set complicates any simple claim about physical flexibility or elapsed-time floors for Theory and system design; physical scope and lifecycle distinctions remain load-bearing.,fusion-src-024;fusion-src-025;fusion-src-028,official programme evidence only,available_evidence_does_not_resolve_scope_or_lifecycle_confounds,preserve_complication_for_domain_review,no suitable source located,A bounded first-pass search located no suitable source directly supporting a claim about intrinsic error tolerance for Theory and system design; this is not evidence of absence.,missing,official programme evidence only,bounded_search_no_suitable_source_located_not_evidence_of_absence,targeted_primary_source_search_only_if_load_bearing
sp-0015,simulation,Simulation,tokamak_research_to_pilot_plant_demonstration,research,routine,directly supported,The verified source set directly informs information intensity for Simulation within the frozen research-to-pilot pathway.,fusion-src-007;fusion-src-017;fusion-src-022;fusion-src-024,peer-reviewed proof of concept plus programme evidence,not_missing,domain_review_before_any_S_adjudication,indirectly supported/analogy,The verified source set informs feedback speed for Simulation only by bounded analogy or adjacent-stage evidence.,fusion-src-007;fusion-src-017;fusion-src-022;fusion-src-024,peer-reviewed proof of concept plus programme evidence,only_adjacent_stage_or_pathway_evidence_located,seek_stage_and_lifecycle_matched_primary_evidence,indirectly supported/analogy,The verified source set informs experiment affordability and throughput for Simulation only by bounded analogy or adjacent-stage evidence.,fusion-src-007;fusion-src-017;fusion-src-022;fusion-src-024,peer-reviewed proof of concept plus programme evidence,only_adjacent_stage_or_pathway_evidence_located,seek_stage_and_lifecycle_matched_primary_evidence,contradicted or complicated,The verified source set complicates any simple claim about physical flexibility or elapsed-time floors for Simulation; physical scope and lifecycle distinctions remain load-bearing.,fusion-src-007;fusion-src-017;fusion-src-022;fusion-src-024,peer-reviewed proof of concept plus programme evidence,available_evidence_does_not_resolve_scope_or_lifecycle_confounds,preserve_complication_for_domain_review,no suitable source located,A bounded first-pass search located no suitable source directly supporting a claim about intrinsic error tolerance for Simulation; this is not evidence of absence.,missing,peer-reviewed proof of concept plus programme evidence,bounded_search_no_suitable_source_located_not_evidence_of_absence,targeted_primary_source_search_only_if_load_bearing
sp-0016,experiment_selection,Experiment selection,tokamak_research_to_pilot_plant_demonstration,research,priority,indirectly supported/analogy,The verified source set informs information intensity for Experiment selection only by bounded analogy or adjacent-stage evidence.,fusion-src-018;fusion-src-019;fusion-src-024;fusion-src-025,adjacent experimental evidence; no experiment-selection outcome study,only_adjacent_stage_or_pathway_evidence_located,seek_stage_and_lifecycle_matched_primary_evidence,indirectly supported/analogy,The verified source set informs feedback speed for Experiment selection only by bounded analogy or adjacent-stage evidence.,fusion-src-018;fusion-src-019;fusion-src-024;fusion-src-025,adjacent experimental evidence; no experiment-selection outcome study,only_adjacent_stage_or_pathway_evidence_located,seek_stage_and_lifecycle_matched_primary_evidence,indirectly supported/analogy,The verified source set informs experiment affordability and throughput for Experiment selection only by bounded analogy or adjacent-stage evidence.,fusion-src-018;fusion-src-019;fusion-src-024;fusion-src-025,adjacent experimental evidence; no experiment-selection outcome study,only_adjacent_stage_or_pathway_evidence_located,seek_stage_and_lifecycle_matched_primary_evidence,no suitable source located,A bounded first-pass search located no suitable source directly supporting a claim about physical flexibility or elapsed-time floors for Experiment selection; this is not evidence of absence.,missing,adjacent experimental evidence; no experiment-selection outcome study,bounded_search_no_suitable_source_located_not_evidence_of_absence,targeted_primary_source_search_only_if_load_bearing,no suitable source located,A bounded first-pass search located no suitable source directly supporting a claim about intrinsic error tolerance for Experiment selection; this is not evidence of absence.,missing,adjacent experimental evidence; no experiment-selection outcome study,bounded_search_no_suitable_source_located_not_evidence_of_absence,targeted_primary_source_search_only_if_load_bearing
sp-0017,diagnostics,Diagnostics,tokamak_research_to_pilot_plant_demonstration,research,routine,directly supported,The verified source set directly informs information intensity for Diagnostics within the frozen research-to-pilot pathway.,fusion-src-008;fusion-src-009;fusion-src-020;fusion-src-021;fusion-src-022,peer-reviewed diagnostic proof of concept,not_missing,domain_review_before_any_S_adjudication,directly supported,The verified source set directly informs feedback speed for Diagnostics within the frozen research-to-pilot pathway.,fusion-src-008;fusion-src-009;fusion-src-020;fusion-src-021;fusion-src-022,peer-reviewed diagnostic proof of concept,not_missing,domain_review_before_any_S_adjudication,indirectly supported/analogy,The verified source set informs experiment affordability and throughput for Diagnostics only by bounded analogy or adjacent-stage evidence.,fusion-src-008;fusion-src-009;fusion-src-020;fusion-src-021;fusion-src-022,peer-reviewed diagnostic proof of concept,only_adjacent_stage_or_pathway_evidence_located,seek_stage_and_lifecycle_matched_primary_evidence,no suitable source located,A bounded first-pass search located no suitable source directly supporting a claim about physical flexibility or elapsed-time floors for Diagnostics; this is not evidence of absence.,missing,peer-reviewed diagnostic proof of concept,bounded_search_no_suitable_source_located_not_evidence_of_absence,targeted_primary_source_search_only_if_load_bearing,contradicted or complicated,The verified source set complicates any simple claim about intrinsic error tolerance for Diagnostics; physical scope and lifecycle distinctions remain load-bearing.,fusion-src-008;fusion-src-009;fusion-src-020;fusion-src-021;fusion-src-022,peer-reviewed diagnostic proof of concept,available_evidence_does_not_resolve_scope_or_lifecycle_confounds,preserve_complication_for_domain_review
sp-0018,plasma_control,Plasma control,tokamak_research_to_pilot_plant_demonstration,development,priority,directly supported,The verified source set directly informs information intensity for Plasma control within the frozen research-to-pilot pathway.,fusion-src-007;fusion-src-017;fusion-src-018;fusion-src-019,peer-reviewed live-device experiments on research tokamaks,not_missing,domain_review_before_any_S_adjudication,directly supported,The verified source set directly informs feedback speed for Plasma control within the frozen research-to-pilot pathway.,fusion-src-007;fusion-src-017;fusion-src-018;fusion-src-019,peer-reviewed live-device experiments on research tokamaks,not_missing,domain_review_before_any_S_adjudication,directly supported,The verified source set directly informs experiment affordability and throughput for Plasma control within the frozen research-to-pilot pathway.,fusion-src-007;fusion-src-017;fusion-src-018;fusion-src-019,peer-reviewed live-device experiments on research tokamaks,not_missing,domain_review_before_any_S_adjudication,contradicted or complicated,The verified source set complicates any simple claim about physical flexibility or elapsed-time floors for Plasma control; physical scope and lifecycle distinctions remain load-bearing.,fusion-src-007;fusion-src-017;fusion-src-018;fusion-src-019,peer-reviewed live-device experiments on research tokamaks,available_evidence_does_not_resolve_scope_or_lifecycle_confounds,preserve_complication_for_domain_review,contradicted or complicated,The verified source set complicates any simple claim about intrinsic error tolerance for Plasma control; physical scope and lifecycle distinctions remain load-bearing.,fusion-src-007;fusion-src-017;fusion-src-018;fusion-src-019,peer-reviewed live-device experiments on research tokamaks,available_evidence_does_not_resolve_scope_or_lifecycle_confounds,preserve_complication_for_domain_review
sp-0019,materials_discovery_and_screening,Materials discovery and screening,tokamak_research_to_pilot_plant_demonstration,research,routine,indirectly supported/analogy,The verified source set informs information intensity for Materials discovery and screening only by bounded analogy or adjacent-stage evidence.,fusion-src-027;fusion-src-028,programme announcement; no fusion-qualified material outcome,only_adjacent_stage_or_pathway_evidence_located,seek_stage_and_lifecycle_matched_primary_evidence,no suitable source located,A bounded first-pass search located no suitable source directly supporting a claim about feedback speed for Materials discovery and screening; this is not evidence of absence.,missing,programme announcement; no fusion-qualified material outcome,bounded_search_no_suitable_source_located_not_evidence_of_absence,targeted_primary_source_search_only_if_load_bearing,no suitable source located,A bounded first-pass search located no suitable source directly supporting a claim about experiment affordability and throughput for Materials discovery and screening; this is not evidence of absence.,missing,programme announcement; no fusion-qualified material outcome,bounded_search_no_suitable_source_located_not_evidence_of_absence,targeted_primary_source_search_only_if_load_bearing,contradicted or complicated,The verified source set complicates any simple claim about physical flexibility or elapsed-time floors for Materials discovery and screening; physical scope and lifecycle distinctions remain load-bearing.,fusion-src-027;fusion-src-028,programme announcement; no fusion-qualified material outcome,available_evidence_does_not_resolve_scope_or_lifecycle_confounds,preserve_complication_for_domain_review,no suitable source located,A bounded first-pass search located no suitable source directly supporting a claim about intrinsic error tolerance for Materials discovery and screening; this is not evidence of absence.,missing,programme announcement; no fusion-qualified material outcome,bounded_search_no_suitable_source_located_not_evidence_of_absence,targeted_primary_source_search_only_if_load_bearing
sp-0020,materials_qualification,Materials qualification,tokamak_research_to_pilot_plant_demonstration,qualification,priority,indirectly supported/analogy,The verified source set informs information intensity for Materials qualification only by bounded analogy or adjacent-stage evidence.,fusion-src-003;fusion-src-026;fusion-src-027;fusion-src-028;fusion-src-038,official requirements and planned facilities; no completed qualification case,only_adjacent_stage_or_pathway_evidence_located,seek_stage_and_lifecycle_matched_primary_evidence,contradicted or complicated,The verified source set complicates any simple claim about feedback speed for Materials qualification; physical scope and lifecycle distinctions remain load-bearing.,fusion-src-003;fusion-src-026;fusion-src-027;fusion-src-028;fusion-src-038,official requirements and planned facilities; no completed qualification case,available_evidence_does_not_resolve_scope_or_lifecycle_confounds,owner_promotion_scope_exception,contradicted or complicated,The verified source set complicates any simple claim about experiment affordability and throughput for Materials qualification; physical scope and lifecycle distinctions remain load-bearing.,fusion-src-003;fusion-src-026;fusion-src-027;fusion-src-028;fusion-src-038,official requirements and planned facilities; no completed qualification case,available_evidence_does_not_resolve_scope_or_lifecycle_confounds,preserve_complication_for_domain_review,directly supported,The verified source set directly informs physical flexibility or elapsed-time floors for Materials qualification within the frozen research-to-pilot pathway.,fusion-src-003;fusion-src-026;fusion-src-027;fusion-src-028;fusion-src-038,official requirements and planned facilities; no completed qualification case,not_missing,owner_promotion_scope_exception,no suitable source located,A bounded first-pass search located no suitable source directly supporting a claim about intrinsic error tolerance for Materials qualification; this is not evidence of absence.,missing,official requirements and planned facilities; no completed qualification case,bounded_search_no_suitable_source_located_not_evidence_of_absence,targeted_primary_source_search_only_if_load_bearing
sp-0021,magnets,Magnets,tokamak_research_to_pilot_plant_demonstration,development,routine,indirectly supported/analogy,The verified source set informs information intensity for Magnets only by bounded analogy or adjacent-stage evidence.,fusion-src-002;fusion-src-012;fusion-src-014;fusion-src-030,observed component/facility milestones with scope limits,only_adjacent_stage_or_pathway_evidence_located,seek_stage_and_lifecycle_matched_primary_evidence,directly supported,The verified source set directly informs feedback speed for Magnets within the frozen research-to-pilot pathway.,fusion-src-002;fusion-src-012;fusion-src-014;fusion-src-030,observed component/facility milestones with scope limits,not_missing,domain_review_before_any_S_adjudication,contradicted or complicated,The verified source set complicates any simple claim about experiment affordability and throughput for Magnets; physical scope and lifecycle distinctions remain load-bearing.,fusion-src-002;fusion-src-012;fusion-src-014;fusion-src-030,observed component/facility milestones with scope limits,available_evidence_does_not_resolve_scope_or_lifecycle_confounds,preserve_complication_for_domain_review,directly supported,The verified source set directly informs physical flexibility or elapsed-time floors for Magnets within the frozen research-to-pilot pathway.,fusion-src-002;fusion-src-012;fusion-src-014;fusion-src-030,observed component/facility milestones with scope limits,not_missing,domain_review_before_any_S_adjudication,contradicted or complicated,The verified source set complicates any simple claim about intrinsic error tolerance for Magnets; physical scope and lifecycle distinctions remain load-bearing.,fusion-src-002;fusion-src-012;fusion-src-014;fusion-src-030,observed component/facility milestones with scope limits,available_evidence_does_not_resolve_scope_or_lifecycle_confounds,preserve_complication_for_domain_review
sp-0022,heating_and_current_drive,Heating and current drive,tokamak_research_to_pilot_plant_demonstration,development,routine,indirectly supported/analogy,The verified source set informs information intensity for Heating and current drive only by bounded analogy or adjacent-stage evidence.,fusion-src-005;fusion-src-029;fusion-src-034,observed subsystem milestones and an official commissioning target,only_adjacent_stage_or_pathway_evidence_located,seek_stage_and_lifecycle_matched_primary_evidence,directly supported,The verified source set directly informs feedback speed for Heating and current drive within the frozen research-to-pilot pathway.,fusion-src-005;fusion-src-029;fusion-src-034,observed subsystem milestones and an official commissioning target,not_missing,domain_review_before_any_S_adjudication,contradicted or complicated,The verified source set complicates any simple claim about experiment affordability and throughput for Heating and current drive; physical scope and lifecycle distinctions remain load-bearing.,fusion-src-005;fusion-src-029;fusion-src-034,observed subsystem milestones and an official commissioning target,available_evidence_does_not_resolve_scope_or_lifecycle_confounds,preserve_complication_for_domain_review,directly supported,The verified source set directly informs physical flexibility or elapsed-time floors for Heating and current drive within the frozen research-to-pilot pathway.,fusion-src-005;fusion-src-029;fusion-src-034,observed subsystem milestones and an official commissioning target,not_missing,domain_review_before_any_S_adjudication,contradicted or complicated,The verified source set complicates any simple claim about intrinsic error tolerance for Heating and current drive; physical scope and lifecycle distinctions remain load-bearing.,fusion-src-005;fusion-src-029;fusion-src-034,observed subsystem milestones and an official commissioning target,available_evidence_does_not_resolve_scope_or_lifecycle_confounds,preserve_complication_for_domain_review
sp-0023,plasma_facing_components,Plasma-facing components,tokamak_research_to_pilot_plant_demonstration,development,routine,indirectly supported/analogy,The verified source set informs information intensity for Plasma-facing components only by bounded analogy or adjacent-stage evidence.,fusion-src-026;fusion-src-027;fusion-src-032;fusion-src-038,facility/programme evidence; no fusion-neutron lifetime qualification,only_adjacent_stage_or_pathway_evidence_located,seek_stage_and_lifecycle_matched_primary_evidence,contradicted or complicated,The verified source set complicates any simple claim about feedback speed for Plasma-facing components; physical scope and lifecycle distinctions remain load-bearing.,fusion-src-026;fusion-src-027;fusion-src-032;fusion-src-038,facility/programme evidence; no fusion-neutron lifetime qualification,available_evidence_does_not_resolve_scope_or_lifecycle_confounds,preserve_complication_for_domain_review,contradicted or complicated,The verified source set complicates any simple claim about experiment affordability and throughput for Plasma-facing components; physical scope and lifecycle distinctions remain load-bearing.,fusion-src-026;fusion-src-027;fusion-src-032;fusion-src-038,facility/programme evidence; no fusion-neutron lifetime qualification,available_evidence_does_not_resolve_scope_or_lifecycle_confounds,preserve_complication_for_domain_review,directly supported,The verified source set directly informs physical flexibility or elapsed-time floors for Plasma-facing components within the frozen research-to-pilot pathway.,fusion-src-026;fusion-src-027;fusion-src-032;fusion-src-038,facility/programme evidence; no fusion-neutron lifetime qualification,not_missing,domain_review_before_any_S_adjudication,no suitable source located,A bounded first-pass search located no suitable source directly supporting a claim about intrinsic error tolerance for Plasma-facing components; this is not evidence of absence.,missing,facility/programme evidence; no fusion-neutron lifetime qualification,bounded_search_no_suitable_source_located_not_evidence_of_absence,targeted_primary_source_search_only_if_load_bearing
