work_id,authors,year,venue,unit_of_analysis,what_it_establishes,overlap_with_project,gap_it_leaves,url_or_doi,verified_date
rw-001,"Dell'Acqua; McFowland; Mollick; Lifshitz-Assaf; Kellogg; Rajendran; Krayer; Candelon; Lakhani",2026,Organization Science,Knowledge-worker task and workflow,"AI performance and worker response vary across a jagged task frontier",Capability structure,"Does not map national or sector-stage conversion paths",https://doi.org/10.1287/orsc.2025.21838,2026-08-27
rw-002,METR,2026,METR research release,Model by benchmark-task duration,"Measures reproducible autonomous task horizons with uncertainty and benchmark limitations",Capability horizon,"Benchmark tasks do not establish sector deployment or outcomes",https://metr.org/blog/2026-1-29-time-horizon-1-1/,2026-08-27
rw-003,Microsoft AI Economy Institute,2025,AI Diffusion Report,Country and AI-stack layer,"Separates use development and infrastructure in global AI diffusion",Diffusion and infrastructure,"Usage estimates do not identify intensive integration or realized outcomes",https://www.microsoft.com/en-us/research/wp-content/uploads/2025/10/Microsoft-AI-Diffusion-Report.pdf,2026-08-27
rw-004,"Massenkoff; Lyubich; Sacher; Hitzig; Zhang; Heller; McCrory",2026,Anthropic Economic Index,Claude conversation API use and surveyed user,"Measures changing task composition autonomy and use patterns in one model ecosystem",Adoption telemetry,"Provider-specific use is not representative of the full economy and does not by itself measure outcomes",https://www.anthropic.com/research/economic-index-june-2026-report,2026-08-27
rw-005,"Fattorini; Maslej; Perrault; Parli; Etchemendy; Shoham; Ligett",2025,Stanford HAI Global AI Vibrancy Tool,Country indicator and pillar,"Provides transparent cross-country AI ecosystem indicators and adjustable aggregation",National inputs,"Vibrancy combines inputs and activities and is not conversion efficiency or realized outcomes",https://hai.stanford.edu/research/the-global-ai-vibrancy-tool-2024,2026-08-27
rw-006,"Gambacorta; Kharroubi; Mehrotra; Oliviero",2025,BIS Working Paper 1321,Country-industry pair,"Links industry exposure and country preparedness to short-run value-added change",Exposure and preparedness,"Short-run observational design does not identify the full sector-stage critical path",https://www.bis.org/publ/work1321.htm,2026-08-27
rw-007,"Aldasoro; Gambacorta; Pal; Revoltella; Weiss; Wolski",2026,BIS Working Paper 1325,Firm,"Estimates European firm productivity and employment effects and the role of complementary investment",Firm conversion,"Firm estimates do not generalize across sectors countries or long-run outcomes without further evidence",https://www.bis.org/publ/work1325.htm,2026-08-27
rw-008,"Demirer; Horton; Immorlica; Lucier; Shahidi",2026,NBER Working Paper 34859,Production step task and job,"Shows that contiguous AI-executed chains create nonlinear automation and job-design effects",Stage-chain structure,"Theoretical chains do not supply sector-specific physical and institutional parameters",https://doi.org/10.3386/w34859,2026-08-27
rw-009,Charles I. Jones,2026,NBER Working Paper 34779,Macroeconomic production chain,"Shows how weak links can slow broad gains while concentrated harms can arrive through a vulnerable link",Weak links and benefit-hazard asymmetry,"Essay-level macro theory does not code concrete sector-stage governance paths",https://doi.org/10.3386/w34779,2026-08-27
rw-010,Benjamin Jones,2025,NBER Working Paper 34312,Research task and field,"Models AI R&D acceleration as a function of task share AI productivity and bottlenecks",Research critical paths,"Does not provide country-specific conversion or empirical stage profiles",https://doi.org/10.3386/w34312,2026-08-27
