stage_id,parent_stage_id,sector,label,description,display_order,leaf_status,version
requirements_and_architecture,not_applicable,Software and AI R&D,Requirements and architecture,,1,leaf,
implementation,not_applicable,Software and AI R&D,Implementation,,2,leaf,
verification_and_validation,not_applicable,Software and AI R&D,Verification and validation,,3,leaf,
deployment,not_applicable,Software and AI R&D,Deployment,,4,leaf,
operations_and_maintenance,not_applicable,Software and AI R&D,Operations and maintenance,,5,leaf,
product_design,not_applicable,"Manufacturing, discrete",Product design,,1,leaf,
process_engineering,not_applicable,"Manufacturing, discrete",Process engineering,,2,leaf,
supply_and_tooling,not_applicable,"Manufacturing, discrete",Supply and tooling,,3,leaf,
retooling_and_commissioning,not_applicable,"Manufacturing, discrete",Retooling and commissioning,,4,leaf,
production_planning_and_scheduling,not_applicable,"Manufacturing, discrete",Production planning and scheduling,,5,leaf,
production_and_process_control,not_applicable,"Manufacturing, discrete",Production and process control,,6,leaf,
quality_assurance,not_applicable,"Manufacturing, discrete",Quality assurance,,7,leaf,
maintenance_and_continuous_improvement,not_applicable,"Manufacturing, discrete",Maintenance and continuous improvement,,8,leaf,
concept_and_design,not_applicable,"Fusion, magnetic confinement",Concept and design,,1,parent,
theory_and_system_design,concept_and_design,"Fusion, magnetic confinement",Theory and system design,,2,leaf,
digital_experiment_loop,not_applicable,"Fusion, magnetic confinement",Digital experiment loop,,3,parent,
simulation,digital_experiment_loop,"Fusion, magnetic confinement",Simulation,,4,leaf,
experiment_selection,digital_experiment_loop,"Fusion, magnetic confinement",Experiment selection,,5,leaf,
plasma_operations,not_applicable,"Fusion, magnetic confinement",Plasma operations,,6,parent,
diagnostics,plasma_operations,"Fusion, magnetic confinement",Diagnostics,,7,leaf,
plasma_control,plasma_operations,"Fusion, magnetic confinement",Plasma control,,8,leaf,
materials,not_applicable,"Fusion, magnetic confinement",Materials,,9,parent,
materials_discovery_and_screening,materials,"Fusion, magnetic confinement",Materials discovery and screening,,10,leaf,
materials_qualification,materials,"Fusion, magnetic confinement",Materials qualification,,11,leaf,
plant_subsystems,not_applicable,"Fusion, magnetic confinement",Plant subsystems,,12,parent,
magnets,plant_subsystems,"Fusion, magnetic confinement",Magnets,,13,leaf,
heating_and_current_drive,plant_subsystems,"Fusion, magnetic confinement",Heating and current drive,,14,leaf,
plasma_facing_components,plant_subsystems,"Fusion, magnetic confinement",Plasma-facing components,,15,leaf,
tritium_and_fuel_cycle,plant_subsystems,"Fusion, magnetic confinement",Tritium and fuel cycle,,16,leaf,
blankets,plant_subsystems,"Fusion, magnetic confinement",Blankets,,17,leaf,
build,not_applicable,"Fusion, magnetic confinement",Build,,18,parent,
component_fabrication,build,"Fusion, magnetic confinement",Component fabrication,,19,leaf,
construction,build,"Fusion, magnetic confinement",Construction,,20,leaf,
demonstration_and_assurance,not_applicable,"Fusion, magnetic confinement",Demonstration and assurance,,21,parent,
commissioning,demonstration_and_assurance,"Fusion, magnetic confinement",Commissioning,,22,leaf,
reliability_demonstration,demonstration_and_assurance,"Fusion, magnetic confinement",Reliability demonstration,,23,leaf,
approval_and_connection,not_applicable,"Fusion, magnetic confinement",Approval and connection,,24,parent,
licensing,approval_and_connection,"Fusion, magnetic confinement",Licensing,,25,leaf,
grid_integration,approval_and_connection,"Fusion, magnetic confinement",Grid integration,,26,leaf,
