source_id,title_original,title_english,authors_org,year,publication_date,access_date,last_verified,archive_url,language,source_type,method_type,claim_owner,official_claim_status,independent_validation_status,url_or_doi,original_language_url,translation_reviewer,translation_note,reliability_tier,geo_scope,sector_scope,key_claims,useful_indicators,limitations,date_added,added_by,review_status,placeholder,notes
src-v2-dr-001,Gen-AI: Artificial Intelligence and the Future of Work,Gen-AI: Artificial Intelligence and the Future of Work,International Monetary Fund,2024,missing,2026-07-11,missing,missing,English,official_discussion_note,think_tank_report,International Monetary Fund,not_official_claim,not_applicable,https://doi.org/10.5089/9798400262548.006,https://doi.org/10.5089/9798400262548.006,not_applicable,English source,A,global,adaptation-distribution,~40% global job exposure; ~60% advanced economies; preparedness framing,ai_exposure_share,"Exposure and preparedness, not realized output",2026-07-11,Claude Fable 5,staged,false,Framework source for exposure/preparedness layers
src-v2-dr-002,AI Needs More Abundant Power Supplies,AI Needs More Abundant Power Supplies,International Monetary Fund,2025,2025-05-13,2026-07-11,missing,missing,English,official_blog,expert_commentary,International Monetary Fund,not_official_claim,not_applicable,https://www.imf.org/en/blogs/articles/2025/05/13/ai-needs-more-abundant-power-supplies-to-keep-driving-economic-growth,https://www.imf.org/en/blogs/articles/2025/05/13/ai-needs-more-abundant-power-supplies-to-keep-driving-economic-growth,not_applicable,English source,A,global,compute-energy,Power availability as binding constraint on AI-driven growth,power_constraint,Blog synthesis of WEO feature,2026-07-11,Claude Fable 5,staged,false,Build-stage constraint evidence
src-v2-dr-003,How Europe Can Capture the AI Growth Dividend,How Europe Can Capture the AI Growth Dividend,International Monetary Fund,2025,2025-11-20,2026-07-11,missing,missing,English,official_blog,expert_commentary,International Monetary Fund,not_official_claim,not_applicable,https://www.imf.org/en/blogs/articles/2025/11/20/how-europe-can-capture-the-ai-growth-dividend,https://www.imf.org/en/blogs/articles/2025/11/20/how-europe-can-capture-the-ai-growth-dividend,not_applicable,English source,A,europe,realized-outcomes,Scenario productivity dividends conditional on complements,tfp_scenario,Scenario/model estimate not observed outcome,2026-07-11,Claude Fable 5,staged,false,Harvest-stage scenario source
src-v2-dr-004,New Skills and AI Are Reshaping the Future of Work,New Skills and AI Are Reshaping the Future of Work,International Monetary Fund,2026,2026-01-14,2026-07-11,missing,missing,English,official_blog,expert_commentary,International Monetary Fund,not_official_claim,not_applicable,https://www.imf.org/en/blogs/articles/2026/01/14/new-skills-and-ai-are-reshaping-the-future-of-work,https://www.imf.org/en/blogs/articles/2026/01/14/new-skills-and-ai-are-reshaping-the-future-of-work,not_applicable,English source,A,multi-country,adaptation-distribution,Wage premia for new skills; weaker employment where AI-skill demand hits vulnerable occupations,skill_wage_premium,Blog-level synthesis; underlying data needed,2026-07-11,Claude Fable 5,staged,false,Distribute-stage mechanism evidence
src-v2-dr-005,Energy and AI,Energy and AI,International Energy Agency,2025,missing,2026-07-11,missing,missing,English,official_report,think_tank_report,International Energy Agency,not_official_claim,not_applicable,https://www.iea.org/reports/energy-and-ai,https://www.iea.org/reports/energy-and-ai,not_applicable,English source,A,global,compute-energy,Data-centre demand ~415 TWh 2024 to ~945 TWh 2030; US+China ~80% of growth,dc_electricity_demand,Projection scenarios depend on uptake,2026-07-11,Claude Fable 5,rejected,false,Duplicate of canonical primary source src-0009
src-v2-dr-006,US data center power use could nearly triple by 2028 (LBNL via Reuters),US data center power use could nearly triple by 2028 (LBNL via Reuters),LBNL / Reuters,2024,2024-12-20,2026-07-11,missing,missing,English,media_report,media_report,LBNL / Reuters,not_official_claim,not_applicable,https://www.reuters.com/business/energy/us-data-center-power-use-could-nearly-triple-by-2028-doe-backed-report-says-2024-12-20/,https://www.reuters.com/business/energy/us-data-center-power-use-could-nearly-triple-by-2028-doe-backed-report-says-2024-12-20/,not_applicable,English source,B,united-states,compute-energy,US data centres 4.4% of electricity 2023; 6.7-12% by 2028,dc_electricity_share,Media relay; prefer canonical LBNL src-0010,2026-07-11,Claude Fable 5,rejected,false,Duplicate media relay; canonical primary LBNL source is src-0010
src-v2-dr-007,Intense AI use still rare among euro zone firms (ECB via Reuters),Intense AI use still rare among euro zone firms (ECB via Reuters),ECB / Reuters,2026,2026-06-24,2026-07-11,missing,missing,English,media_report,media_report,ECB / Reuters,not_official_claim,not_applicable,https://www.reuters.com/business/intense-ai-use-still-rare-among-euro-zone-firms-ecb-researchers-find-2026-06-24/,https://www.reuters.com/business/intense-ai-use-still-rare-among-euro-zone-firms-ecb-researchers-find-2026-06-24/,not_applicable,English source,B,euro-area,organizational-diffusion,Any-use broad; intense use ~7%,ai_adoption_intensive,Media relay; prefer ECB blog src-v1-dr-005,2026-07-11,Claude Fable 5,rejected,false,Duplicate media relay; canonical ECB results and staff analysis are src-0038 and src-0041
src-v2-dr-008,Generative AI at Work (EWCS worker adoption),Generative AI at Work (EWCS worker adoption),Henseke,2026,missing,2026-07-11,missing,missing,English,working_paper,working_paper,Henseke,not_official_claim,not_applicable,https://arxiv.org/abs/2604.18849,https://arxiv.org/abs/2604.18849,not_applicable,English source,B,europe,organizational-diffusion,"Worker-level GenAI adoption ~12% average, <3% to 25% across 35 European countries; no detectable task-restructuring effect yet",worker_genai_use,Working paper; survey-based,2026-07-11,Claude Fable 5,staged,false,Best cross-country worker adoption study
src-v2-dr-009,Measuring AI Ability to Complete Long Tasks,Measuring AI Ability to Complete Long Tasks,METR,2025,missing,2026-07-11,missing,missing,English,working_paper,working_paper,METR,not_official_claim,not_applicable,https://arxiv.org/abs/2503.14499,https://arxiv.org/abs/2503.14499,not_applicable,English source,B,global,frontier-access,Time-horizon metric definition and doubling trends,time_horizon_50pct,External validity limited beyond measured task families,2026-07-11,Claude Fable 5,staged,false,Primary x-axis support; family of src-v1-dr-001
src-v2-dr-010,OSS developer productivity RCT (AI tools made experienced devs 19% slower),OSS developer productivity RCT (AI tools made experienced devs 19% slower),Becker et al. / METR,2025,missing,2026-07-11,missing,missing,English,working_paper,working_paper,Becker et al. / METR,not_official_claim,not_applicable,https://arxiv.org/abs/2507.09089,https://arxiv.org/abs/2507.09089,not_applicable,English source,B,united-states,realized-outcomes,Early-2025 AI coding tools slowed experienced OSS devs by 19% in familiar codebases,task_productivity_rct,Historical early-2025 setting; METR explicitly marks the result out of date for current tools. See src-v2-dr-025,2026-07-11,Claude Fable 5,staged,false,Historical result only. February 2026 update says wider adoption likely changed effects but selection makes the newer estimate unreliable
