profile_id,stage_id,sector,workflow,pathway_id,application_context,lifecycle_phase,s_dimension,comparison_status,numeric_difference,seed_review_id,seed_coder_name,seed_coder_model,seed_value,seed_rationale,seed_source_ids,seed_confidence,independent_review_id,independent_coder_name,independent_coder_model,independent_reasoning_effort,independent_value,independent_rationale,independent_source_ids,independent_confidence,semantic_flags,owner_review_required,review_route
sp-0001,requirements_and_architecture,Software engineering,Requirements and architecture,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,S1,exact_agreement,0,seed-sp-0001-v1,Claude Code,claude-opus-5,4,"S1: requirements definition, interface specification, architecture and system trade-offs are carried out wholly in analysis, documents and models, with no physical transformation inside the scoped stage; S2: intermediate judgment - desk-level draft, critique and revise cycles close within days, but the signal that confirms an architecture decision arrives from downstream implementation and operation, which this scope excludes, so the ordinary confirming loop sits between the minutes-to-days and weeks-to-months anchors; S3 cost: an additional design option, trade study or written alternative costs only analyst or model time and is effectively free at the margin; S3 throughput: intermediate judgment - option generation parallelises without limit, but each option must clear scarce senior-reviewer and stakeholder attention, which is serial and rate-limits how many options are genuinely evaluated; S4: no construction, growth, curing, healing or qualification floor applies, and remaining elapsed time reflects review cadence, which is organisational rather than physical latency; S5: intermediate judgment - an error caught while the work is still on paper costs almost nothing to correct, but architecture errors that escape this stage are the archetypal expensive rework in an established codebase, so the stage falls short of the cheap, reversible, low-externality anchor; scope caveat: frozen V1 scope is mature production software in an established codebase and excludes greenfield prototyping, frontier algorithm research and safety-critical software; critical_path_role remains not_assessed.",,medium,independent-sp-0001-v1,Codex,gpt-5.6,extra_high,4,"S1: 4 — progress is requirements analysis, interface specification, architecture, and trade-off reasoning; S2: 3 — Intermediate judgment: feedback is usually days to weeks, slower than minute-to-day coding loops but faster than the weeks-to-months anchor; S3 cost: 3 — Intermediate judgment: drafts and models are cheap, but expert review and system context are meaningful costs; S3 throughput: alternatives can be explored in parallel, while architecture review and dependency resolution constrain throughput; S4: 4 — no intrinsic construction, growth, curing, or qualification floor is inside this stage; S5: 2 — errors can propagate into material rework, but remain reviewable and reversible before implementation; scope caveat: applies only to mature feature work in an established, non-safety-critical codebase.",,medium,,false,audit_only
sp-0001,requirements_and_architecture,Software engineering,Requirements and architecture,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,S2,exact_agreement,0,seed-sp-0001-v1,Claude Code,claude-opus-5,3,"S1: requirements definition, interface specification, architecture and system trade-offs are carried out wholly in analysis, documents and models, with no physical transformation inside the scoped stage; S2: intermediate judgment - desk-level draft, critique and revise cycles close within days, but the signal that confirms an architecture decision arrives from downstream implementation and operation, which this scope excludes, so the ordinary confirming loop sits between the minutes-to-days and weeks-to-months anchors; S3 cost: an additional design option, trade study or written alternative costs only analyst or model time and is effectively free at the margin; S3 throughput: intermediate judgment - option generation parallelises without limit, but each option must clear scarce senior-reviewer and stakeholder attention, which is serial and rate-limits how many options are genuinely evaluated; S4: no construction, growth, curing, healing or qualification floor applies, and remaining elapsed time reflects review cadence, which is organisational rather than physical latency; S5: intermediate judgment - an error caught while the work is still on paper costs almost nothing to correct, but architecture errors that escape this stage are the archetypal expensive rework in an established codebase, so the stage falls short of the cheap, reversible, low-externality anchor; scope caveat: frozen V1 scope is mature production software in an established codebase and excludes greenfield prototyping, frontier algorithm research and safety-critical software; critical_path_role remains not_assessed.",,medium,independent-sp-0001-v1,Codex,gpt-5.6,extra_high,3,"S1: 4 — progress is requirements analysis, interface specification, architecture, and trade-off reasoning; S2: 3 — Intermediate judgment: feedback is usually days to weeks, slower than minute-to-day coding loops but faster than the weeks-to-months anchor; S3 cost: 3 — Intermediate judgment: drafts and models are cheap, but expert review and system context are meaningful costs; S3 throughput: alternatives can be explored in parallel, while architecture review and dependency resolution constrain throughput; S4: 4 — no intrinsic construction, growth, curing, or qualification floor is inside this stage; S5: 2 — errors can propagate into material rework, but remain reviewable and reversible before implementation; scope caveat: applies only to mature feature work in an established, non-safety-critical codebase.",,medium,,false,audit_only
sp-0001,requirements_and_architecture,Software engineering,Requirements and architecture,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,S3,exact_agreement,0,seed-sp-0001-v1,Claude Code,claude-opus-5,3,"S1: requirements definition, interface specification, architecture and system trade-offs are carried out wholly in analysis, documents and models, with no physical transformation inside the scoped stage; S2: intermediate judgment - desk-level draft, critique and revise cycles close within days, but the signal that confirms an architecture decision arrives from downstream implementation and operation, which this scope excludes, so the ordinary confirming loop sits between the minutes-to-days and weeks-to-months anchors; S3 cost: an additional design option, trade study or written alternative costs only analyst or model time and is effectively free at the margin; S3 throughput: intermediate judgment - option generation parallelises without limit, but each option must clear scarce senior-reviewer and stakeholder attention, which is serial and rate-limits how many options are genuinely evaluated; S4: no construction, growth, curing, healing or qualification floor applies, and remaining elapsed time reflects review cadence, which is organisational rather than physical latency; S5: intermediate judgment - an error caught while the work is still on paper costs almost nothing to correct, but architecture errors that escape this stage are the archetypal expensive rework in an established codebase, so the stage falls short of the cheap, reversible, low-externality anchor; scope caveat: frozen V1 scope is mature production software in an established codebase and excludes greenfield prototyping, frontier algorithm research and safety-critical software; critical_path_role remains not_assessed.",,medium,independent-sp-0001-v1,Codex,gpt-5.6,extra_high,3,"S1: 4 — progress is requirements analysis, interface specification, architecture, and trade-off reasoning; S2: 3 — Intermediate judgment: feedback is usually days to weeks, slower than minute-to-day coding loops but faster than the weeks-to-months anchor; S3 cost: 3 — Intermediate judgment: drafts and models are cheap, but expert review and system context are meaningful costs; S3 throughput: alternatives can be explored in parallel, while architecture review and dependency resolution constrain throughput; S4: 4 — no intrinsic construction, growth, curing, or qualification floor is inside this stage; S5: 2 — errors can propagate into material rework, but remain reviewable and reversible before implementation; scope caveat: applies only to mature feature work in an established, non-safety-critical codebase.",,medium,,false,audit_only
sp-0001,requirements_and_architecture,Software engineering,Requirements and architecture,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,S4,exact_agreement,0,seed-sp-0001-v1,Claude Code,claude-opus-5,4,"S1: requirements definition, interface specification, architecture and system trade-offs are carried out wholly in analysis, documents and models, with no physical transformation inside the scoped stage; S2: intermediate judgment - desk-level draft, critique and revise cycles close within days, but the signal that confirms an architecture decision arrives from downstream implementation and operation, which this scope excludes, so the ordinary confirming loop sits between the minutes-to-days and weeks-to-months anchors; S3 cost: an additional design option, trade study or written alternative costs only analyst or model time and is effectively free at the margin; S3 throughput: intermediate judgment - option generation parallelises without limit, but each option must clear scarce senior-reviewer and stakeholder attention, which is serial and rate-limits how many options are genuinely evaluated; S4: no construction, growth, curing, healing or qualification floor applies, and remaining elapsed time reflects review cadence, which is organisational rather than physical latency; S5: intermediate judgment - an error caught while the work is still on paper costs almost nothing to correct, but architecture errors that escape this stage are the archetypal expensive rework in an established codebase, so the stage falls short of the cheap, reversible, low-externality anchor; scope caveat: frozen V1 scope is mature production software in an established codebase and excludes greenfield prototyping, frontier algorithm research and safety-critical software; critical_path_role remains not_assessed.",,medium,independent-sp-0001-v1,Codex,gpt-5.6,extra_high,4,"S1: 4 — progress is requirements analysis, interface specification, architecture, and trade-off reasoning; S2: 3 — Intermediate judgment: feedback is usually days to weeks, slower than minute-to-day coding loops but faster than the weeks-to-months anchor; S3 cost: 3 — Intermediate judgment: drafts and models are cheap, but expert review and system context are meaningful costs; S3 throughput: alternatives can be explored in parallel, while architecture review and dependency resolution constrain throughput; S4: 4 — no intrinsic construction, growth, curing, or qualification floor is inside this stage; S5: 2 — errors can propagate into material rework, but remain reviewable and reversible before implementation; scope caveat: applies only to mature feature work in an established, non-safety-critical codebase.",,medium,,false,audit_only
sp-0001,requirements_and_architecture,Software engineering,Requirements and architecture,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,S5,one_point_difference,1,seed-sp-0001-v1,Claude Code,claude-opus-5,3,"S1: requirements definition, interface specification, architecture and system trade-offs are carried out wholly in analysis, documents and models, with no physical transformation inside the scoped stage; S2: intermediate judgment - desk-level draft, critique and revise cycles close within days, but the signal that confirms an architecture decision arrives from downstream implementation and operation, which this scope excludes, so the ordinary confirming loop sits between the minutes-to-days and weeks-to-months anchors; S3 cost: an additional design option, trade study or written alternative costs only analyst or model time and is effectively free at the margin; S3 throughput: intermediate judgment - option generation parallelises without limit, but each option must clear scarce senior-reviewer and stakeholder attention, which is serial and rate-limits how many options are genuinely evaluated; S4: no construction, growth, curing, healing or qualification floor applies, and remaining elapsed time reflects review cadence, which is organisational rather than physical latency; S5: intermediate judgment - an error caught while the work is still on paper costs almost nothing to correct, but architecture errors that escape this stage are the archetypal expensive rework in an established codebase, so the stage falls short of the cheap, reversible, low-externality anchor; scope caveat: frozen V1 scope is mature production software in an established codebase and excludes greenfield prototyping, frontier algorithm research and safety-critical software; critical_path_role remains not_assessed.",,medium,independent-sp-0001-v1,Codex,gpt-5.6,extra_high,2,"S1: 4 — progress is requirements analysis, interface specification, architecture, and trade-off reasoning; S2: 3 — Intermediate judgment: feedback is usually days to weeks, slower than minute-to-day coding loops but faster than the weeks-to-months anchor; S3 cost: 3 — Intermediate judgment: drafts and models are cheap, but expert review and system context are meaningful costs; S3 throughput: alternatives can be explored in parallel, while architecture review and dependency resolution constrain throughput; S4: 4 — no intrinsic construction, growth, curing, or qualification floor is inside this stage; S5: 2 — errors can propagate into material rework, but remain reviewable and reversible before implementation; scope caveat: applies only to mature feature work in an established, non-safety-critical codebase.",,medium,,false,audit_only
sp-0002,implementation,Software engineering,Implementation,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,S1,exact_agreement,0,seed-sp-0002-v1,Claude Code,claude-opus-5,4,"S1: coding, configuration, refactoring and integration in an established codebase are entirely information and software work; nothing in the scoped stage advances through physical transformation, biology, construction or accumulated operating time; S2: the ordinary loop is edit, build, run and revise, which closes in minutes to hours on mature tooling; S3 cost: an additional attempt costs a build and a test execution, that is compute and inference time, which is near-free at the margin; S3 throughput: attempts parallelise across branches, workspaces, agents and test matrices, bounded only by elastic CI capacity rather than by any scarce physical system; S4: no construction, growth, curing, healing or qualification floor governs elapsed time; S5: changes in this scope are pre-release and held under version control, so a bad change is reverted cheaply with no external consequence; the consequences of defects that reach users are coded at sp-0004 and sp-0005 rather than double-counted here; scope caveat: frozen V1 scope is mature production software in an established codebase and excludes greenfield prototyping, frontier algorithm research and safety-critical software; critical_path_role remains not_assessed.",,high,independent-sp-0002-v1,Codex,gpt-5.6,extra_high,4,"S1: 4 — coding, configuration, refactoring, and integration are primarily information and software work; S2: 4 — edit-run-test loops ordinarily occur in minutes to days; S3 cost: 4 — code changes and local test attempts have very low marginal cost; S3 throughput: branches, tests, and implementation alternatives can run in substantial parallelism; S4: 4 — no physical maturation or qualification floor dominates implementation; S5: 3 — Intermediate judgment: most errors are reversible through version control and tests, but integration defects can still impose meaningful rework; scope caveat: applies to approved changes in an established codebase, not frontier research or safety-critical software.",,high,,false,audit_only
sp-0002,implementation,Software engineering,Implementation,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,S2,exact_agreement,0,seed-sp-0002-v1,Claude Code,claude-opus-5,4,"S1: coding, configuration, refactoring and integration in an established codebase are entirely information and software work; nothing in the scoped stage advances through physical transformation, biology, construction or accumulated operating time; S2: the ordinary loop is edit, build, run and revise, which closes in minutes to hours on mature tooling; S3 cost: an additional attempt costs a build and a test execution, that is compute and inference time, which is near-free at the margin; S3 throughput: attempts parallelise across branches, workspaces, agents and test matrices, bounded only by elastic CI capacity rather than by any scarce physical system; S4: no construction, growth, curing, healing or qualification floor governs elapsed time; S5: changes in this scope are pre-release and held under version control, so a bad change is reverted cheaply with no external consequence; the consequences of defects that reach users are coded at sp-0004 and sp-0005 rather than double-counted here; scope caveat: frozen V1 scope is mature production software in an established codebase and excludes greenfield prototyping, frontier algorithm research and safety-critical software; critical_path_role remains not_assessed.",,high,independent-sp-0002-v1,Codex,gpt-5.6,extra_high,4,"S1: 4 — coding, configuration, refactoring, and integration are primarily information and software work; S2: 4 — edit-run-test loops ordinarily occur in minutes to days; S3 cost: 4 — code changes and local test attempts have very low marginal cost; S3 throughput: branches, tests, and implementation alternatives can run in substantial parallelism; S4: 4 — no physical maturation or qualification floor dominates implementation; S5: 3 — Intermediate judgment: most errors are reversible through version control and tests, but integration defects can still impose meaningful rework; scope caveat: applies to approved changes in an established codebase, not frontier research or safety-critical software.",,high,,false,audit_only
sp-0002,implementation,Software engineering,Implementation,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,S3,exact_agreement,0,seed-sp-0002-v1,Claude Code,claude-opus-5,4,"S1: coding, configuration, refactoring and integration in an established codebase are entirely information and software work; nothing in the scoped stage advances through physical transformation, biology, construction or accumulated operating time; S2: the ordinary loop is edit, build, run and revise, which closes in minutes to hours on mature tooling; S3 cost: an additional attempt costs a build and a test execution, that is compute and inference time, which is near-free at the margin; S3 throughput: attempts parallelise across branches, workspaces, agents and test matrices, bounded only by elastic CI capacity rather than by any scarce physical system; S4: no construction, growth, curing, healing or qualification floor governs elapsed time; S5: changes in this scope are pre-release and held under version control, so a bad change is reverted cheaply with no external consequence; the consequences of defects that reach users are coded at sp-0004 and sp-0005 rather than double-counted here; scope caveat: frozen V1 scope is mature production software in an established codebase and excludes greenfield prototyping, frontier algorithm research and safety-critical software; critical_path_role remains not_assessed.",,high,independent-sp-0002-v1,Codex,gpt-5.6,extra_high,4,"S1: 4 — coding, configuration, refactoring, and integration are primarily information and software work; S2: 4 — edit-run-test loops ordinarily occur in minutes to days; S3 cost: 4 — code changes and local test attempts have very low marginal cost; S3 throughput: branches, tests, and implementation alternatives can run in substantial parallelism; S4: 4 — no physical maturation or qualification floor dominates implementation; S5: 3 — Intermediate judgment: most errors are reversible through version control and tests, but integration defects can still impose meaningful rework; scope caveat: applies to approved changes in an established codebase, not frontier research or safety-critical software.",,high,,false,audit_only
sp-0002,implementation,Software engineering,Implementation,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,S4,exact_agreement,0,seed-sp-0002-v1,Claude Code,claude-opus-5,4,"S1: coding, configuration, refactoring and integration in an established codebase are entirely information and software work; nothing in the scoped stage advances through physical transformation, biology, construction or accumulated operating time; S2: the ordinary loop is edit, build, run and revise, which closes in minutes to hours on mature tooling; S3 cost: an additional attempt costs a build and a test execution, that is compute and inference time, which is near-free at the margin; S3 throughput: attempts parallelise across branches, workspaces, agents and test matrices, bounded only by elastic CI capacity rather than by any scarce physical system; S4: no construction, growth, curing, healing or qualification floor governs elapsed time; S5: changes in this scope are pre-release and held under version control, so a bad change is reverted cheaply with no external consequence; the consequences of defects that reach users are coded at sp-0004 and sp-0005 rather than double-counted here; scope caveat: frozen V1 scope is mature production software in an established codebase and excludes greenfield prototyping, frontier algorithm research and safety-critical software; critical_path_role remains not_assessed.",,high,independent-sp-0002-v1,Codex,gpt-5.6,extra_high,4,"S1: 4 — coding, configuration, refactoring, and integration are primarily information and software work; S2: 4 — edit-run-test loops ordinarily occur in minutes to days; S3 cost: 4 — code changes and local test attempts have very low marginal cost; S3 throughput: branches, tests, and implementation alternatives can run in substantial parallelism; S4: 4 — no physical maturation or qualification floor dominates implementation; S5: 3 — Intermediate judgment: most errors are reversible through version control and tests, but integration defects can still impose meaningful rework; scope caveat: applies to approved changes in an established codebase, not frontier research or safety-critical software.",,high,,false,audit_only
sp-0002,implementation,Software engineering,Implementation,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,S5,one_point_difference,1,seed-sp-0002-v1,Claude Code,claude-opus-5,4,"S1: coding, configuration, refactoring and integration in an established codebase are entirely information and software work; nothing in the scoped stage advances through physical transformation, biology, construction or accumulated operating time; S2: the ordinary loop is edit, build, run and revise, which closes in minutes to hours on mature tooling; S3 cost: an additional attempt costs a build and a test execution, that is compute and inference time, which is near-free at the margin; S3 throughput: attempts parallelise across branches, workspaces, agents and test matrices, bounded only by elastic CI capacity rather than by any scarce physical system; S4: no construction, growth, curing, healing or qualification floor governs elapsed time; S5: changes in this scope are pre-release and held under version control, so a bad change is reverted cheaply with no external consequence; the consequences of defects that reach users are coded at sp-0004 and sp-0005 rather than double-counted here; scope caveat: frozen V1 scope is mature production software in an established codebase and excludes greenfield prototyping, frontier algorithm research and safety-critical software; critical_path_role remains not_assessed.",,high,independent-sp-0002-v1,Codex,gpt-5.6,extra_high,3,"S1: 4 — coding, configuration, refactoring, and integration are primarily information and software work; S2: 4 — edit-run-test loops ordinarily occur in minutes to days; S3 cost: 4 — code changes and local test attempts have very low marginal cost; S3 throughput: branches, tests, and implementation alternatives can run in substantial parallelism; S4: 4 — no physical maturation or qualification floor dominates implementation; S5: 3 — Intermediate judgment: most errors are reversible through version control and tests, but integration defects can still impose meaningful rework; scope caveat: applies to approved changes in an established codebase, not frontier research or safety-critical software.",,high,,false,audit_only
