forecast_id,question,resolution_criteria,resolution_source,deadline,initial_probability_range,rationale,framework_relevance,update_triggers,status,author_review_status,baseline_date,lower_bound_rationale,upper_bound_rationale,last_updated,update_history
fc-0001,Will US business AI use in the Census BTOS reach at least 35% in any month of 2027?,BTOS reports current use >=35% of firms,US Census BTOS releases,2027-12-31,45-60%,Diffusion has roughly doubled in two years from a low base; extrapolation is plausible but base effects fade,"Tests extensive-margin diffusion in a high-access, high-conversion economy",Major price declines; regulatory shocks; recession,draft_unreviewed,pending,2026-07-11,missing,missing,2026-07-11,
fc-0002,Will at least 15% of euro-area firms report intense AI use by end-2028?,ECB repeat survey or equivalent shows intense-use share >=15%,ECB firm survey or published paper,2028-12-31,30-45%,"Intense use is ~7% now and gated by complementary investment, which moves slowly",Tests whether Europe moves from use to harvest,Cheaper inference; EU procurement push; power constraints,draft_unreviewed,pending,2026-07-11,missing,missing,2026-07-11,
fc-0003,Will Canada's business AI use reach 20% by end-2028?,Official Canadian business survey shows share >=20%,Statistics Canada or official strategy tracker,2028-12-31,40-55%,Sovereign-AI strategy targets adoption but SME diffusion has lagged peers,Tests whether a sovereign-AI strategy closes the conversion gap,Public compute rollout; training uptake; SME incentives,draft_unreviewed,pending,2026-07-11,missing,missing,2026-07-11,
fc-0004,Will Italy's enterprise AI use exceed 25% by end-2030?,ISTAT or Eurostat enterprise-use figure >25%,ISTAT / Eurostat,2030-12-31,35-50%,Italy starts near 8% with cited digital-skill gaps; catch-up requires sustained complement investment,Tests the late-converter pathway in an advanced economy,Digital-skills changes; SME support; macro slowdown,draft_unreviewed,pending,2026-07-11,missing,missing,2026-07-11,
fc-0005,Will US data centres consume at least 10% of US electricity by 2028?,Official or DOE/LBNL-endorsed estimate reaches >=10%,LBNL / DOE / EIA,2028-12-31,40-55%,LBNL range for 2028 is 6.7-12%; the top half of that range requires uninterrupted buildout,Tests whether build-stage constraints intensify,Chip availability; siting delays; efficiency gains,draft_unreviewed,pending,2026-07-11,missing,missing,2026-07-11,
fc-0006,Will the accessible frontier task horizon exceed 8 hours at 50% success on a METR-like measure by end-2028?,Public evaluation reports >=8h 50%-horizon on a reproducible benchmark,METR or comparable public evaluation,2028-12-31,50-65%,"Original draft extrapolated the post-2023 trend. Audit: METR current TH1.1 data report Claude Mythos Preview (early) at 1,044.8 minutes p50 (508.9-3,304.3), already above 8 hours, while warning that estimates above 16 hours are unreliable. Author must decide whether to resolve, rebase, or retire this question; the draft range is unchanged and remains hidden pending that decision.",Direct x-axis test of capability progression,Reasoning/autonomy jumps; benchmark redesign,draft_unreviewed,needs_decision,2026-07-11,"Retained unchanged from the draft; wide confidence intervals, task-suite sensitivity, and benchmark saturation argue against automatic upward revision.","Retained unchanged from the draft; the public threshold may already be crossed, so author review should resolve or redefine the question rather than silently revise probability.",2026-07-11,
fc-0007,Will open-weight models reach within 20% of leading closed models on a fixed-cost task bundle by end-2028?,Constructed capability-at-cost index gap <=20%,Public model evaluations and pricing,2028-12-31,35-50%,Cost-adjusted gaps have compressed but frontier labs retain a training-compute edge,Tests substitution between open access and closed access,Major open-weight releases; distillation restrictions,draft_unreviewed,pending,2026-07-11,missing,missing,2026-07-11,
fc-0008,Will worker-level GenAI adoption in Europe exceed 25% in the next EWCS-style cross-country release?,Worker survey average >25%,EWCS successor or harmonised official survey,2029-12-31,40-55%,Current average ~12% with wide country dispersion; workplace policy is loosening,Tests use-stage steepening at the worker level,Employer policy liberalisation; legal restrictions,draft_unreviewed,pending,2026-07-11,missing,missing,2026-07-11,
fc-0009,"Will a major tax, customs, or benefits agency publish an audited result showing >=20% processing-time reduction from AI by end-2029?",Official audit or evaluation verifies >=20% reduction attributable to AI,National audit office / ministry evaluation,2029-12-31,30-45%,Public-sector evidence is currently implementation-heavy and outcome-light everywhere,Tests the state-capacity branch of the framework,Procurement changes; public backlash; audit publication,draft_unreviewed,pending,2026-07-11,missing,missing,2026-07-11,
fc-0010,Will highly exposed entry-level cognitive occupations in at least one G7 economy show a >=5pp worse employment or hiring outcome than low-exposure peers by 2028?,Official labour/posting data with transparent exposure grouping show differential >=5pp,IMF / OECD / national labour agencies,2028-12-31,45-60%,Early relative-softness signals exist but attribution against the macro cycle is hard,Tests distribute-stage concentration of adjustment costs,Macro recession; immigration changes; labour regulation,draft_unreviewed,pending,2026-07-11,missing,missing,2026-07-11,
