profile_id,stage_id,parent_stage_id,sector,workflow,pathway_id,application_context,lifecycle_phase,critical_path_role,S1,S2,S3,S4,S5,rationale,source_ids,coding_confidence,disagreement_summary,selected_review_ids,evidence_basis,coding_as_of,last_reviewed,revisit_triggers,proposed_by,proposed_model,reviewed_by,independent_review_by,approved_by,coding_status,review_status,version,changelog_note
sp-0001,requirements_and_architecture,not_applicable,Software engineering,Requirements and architecture,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0002,implementation,not_applicable,Software engineering,Implementation,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0003,verification_and_validation,not_applicable,Software engineering,Verification and validation,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0004,deployment,not_applicable,Software engineering,Deployment,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",commercial_deployment,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0005,operations_and_maintenance,not_applicable,Software engineering,Operations and maintenance,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",operations,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0006,product_design,not_applicable,Discrete manufacturing,Product design,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",development,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0007,process_engineering,not_applicable,Discrete manufacturing,Process engineering,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",development,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0008,supply_and_tooling,not_applicable,Discrete manufacturing,Supply and tooling,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",scale_up,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0009,retooling_and_commissioning,not_applicable,Discrete manufacturing,Retooling and commissioning,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",scale_up,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0010,production_planning_and_scheduling,not_applicable,Discrete manufacturing,Production planning and scheduling,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",operations,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0011,production_and_process_control,not_applicable,Discrete manufacturing,Production and process control,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",operations,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0012,quality_assurance,not_applicable,Discrete manufacturing,Quality assurance,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",operations,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0013,maintenance_and_continuous_improvement,not_applicable,Discrete manufacturing,Maintenance and continuous improvement,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",operations,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0014,theory_and_system_design,concept_and_design,"Fusion, magnetic confinement",Theory and system design,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0015,simulation,digital_experiment_loop,"Fusion, magnetic confinement",Simulation,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0016,experiment_selection,digital_experiment_loop,"Fusion, magnetic confinement",Experiment selection,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0017,diagnostics,plasma_operations,"Fusion, magnetic confinement",Diagnostics,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0018,plasma_control,plasma_operations,"Fusion, magnetic confinement",Plasma control,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0019,materials_discovery_and_screening,materials,"Fusion, magnetic confinement",Materials discovery and screening,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0020,materials_qualification,materials,"Fusion, magnetic confinement",Materials qualification,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",qualification,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0021,magnets,plant_subsystems,"Fusion, magnetic confinement",Magnets,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0022,heating_and_current_drive,plant_subsystems,"Fusion, magnetic confinement",Heating and current drive,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0023,plasma_facing_components,plant_subsystems,"Fusion, magnetic confinement",Plasma-facing components,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0024,tritium_and_fuel_cycle,plant_subsystems,"Fusion, magnetic confinement",Tritium and fuel cycle,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
sp-0025,blankets,plant_subsystems,"Fusion, magnetic confinement",Blankets,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,not_assessed,,,,,,,,,,,,,,,,,,,,,,,
