claim_id,claim,claim_type,evidence_type,source_ids,counterevidence_source_ids,confidence,geography,sector,product_use_status,caveat,owner,last_reviewed,notes
clm-0001,"China installed roughly 295,000 industrial robots in 2024, about 54% of global installations",observed_statistic,dataset,src-0016,,high,china,manufacturing,approved,"Installations measure deployment activity, not realized productivity",Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Verified against IFR press materials 2026-07-05
clm-0002,"China's operational industrial robot stock exceeds 2 million units, the largest in the world",observed_statistic,dataset,src-0016,,high,china,manufacturing,approved,Aggregate stock reflects economy size as well as automation intensity,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,
clm-0003,"IFR World Robotics 2025 revised China's manufacturing robot density to 166 per 10,000 employees (22nd worldwide) after incorporating updated National Bureau of Statistics workforce data; the United States stands at 307 (8th); South Korea leads at 1,220; the global average is 132",observed_statistic,dataset,src-0016,,high,china; united-states,manufacturing,approved,Density is highly denominator-sensitive: IFR's prior releases showed China at 470 per 10k for 2023 under the old workforce series. Cross-year density comparisons must state which denominator is used,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Verified against live IFR press page 2026-07-05. Supersedes any use of 470 or 567 figures for China density
clm-0004,"China's robot deployment is clustered in coastal hubs and subsidized strategic sectors, while a long tail of interior SMEs remains labor-dependent",hypothesis,derived,src-0016; src-v1-dr-015,,medium,china,manufacturing,approved_with_caveat,Interpretation inferred from the density revision plus academic digital-divide evidence; no direct plant-level dataset yet,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Consistent with the 166-vs-aggregate-stock contrast but not directly measured
clm-0005,Chinese robot makers took a majority share (~57%) of their domestic market for the first time in 2024,observed_statistic,dataset,src-0016,,medium,china,manufacturing,staged,Figure appears in IFR press materials but was not independently re-verified on 2026-07-05,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,VERIFY against WR2025 press release before public use
clm-0006,The August 2025 State Council AI+ opinion (Guofa [2025] No. 11) sets application-penetration targets for new-generation smart terminals and agents of over 70% by 2027 and over 90% by 2030,official_target,official_document,src-0023,,high,china,cross-cutting,approved_with_caveat,"This is a stated policy target, not an observed adoption statistic",Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Primary State Council document is canonical src-0023
clm-0007,"Chinese AI policy since 2024 is primarily a diffusion program (AI+ across industry, science, services, governance) rather than a frontier-model program",hypothesis,official_document,src-0022; src-0023,src-v1-dr-019,medium,china,cross-cutting,approved_with_caveat,Characterization of policy intent; implementation and outcomes are separate questions. China also invests in frontier capability,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Core China conversion hypothesis; treat as testable
clm-0008,The 15th Five-Year Plan elevates digital-intelligent development to a standalone chapter and schedules landmark compute-infrastructure projects,official_program_claim,government_briefing,src-v1-dr-018,,medium,china,cross-cutting,staged,Official statement of plan structure; staged source pending URL verification,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Promote src-v1-dr-018 before using in public copy
clm-0009,"CAICT reports China's smart compute reached 782 EFlops by mid-2025, about 81% of total domestic compute",official_claim,official_report,src-v1-dr-013,,medium,china,compute-energy,staged,"CAICT is MIIT-affiliated; treat scale figures as official-adjacent claims, not independently validated",Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Staged pending URL verification
clm-0010,"Independent Chinese academic work finds only ~2% of surveyed manufacturing firms achieve comprehensive digital reinvention, with an initial productivity dip during AI integration",observed_statistic,peer_reviewed,src-v1-dr-015,,medium,china,manufacturing,staged,Single study; sample limited to listed companies; needs journal DOI for canonical promotion,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Strongest independent counterweight to official diffusion claims
