record_id,pack_source_id,candidate_source_id,title_or_claim,url_or_doi,disposition,reason_code,reason,permitted_limited_use,affected_profile_ids,affected_s_dimensions,last_verified,notes
fusion-rej-001,S-CN-HH70-CO,fusion-src-013,"HH70 1,337-second operation as an independently established AI result",https://energysingularity.cn/news/news-001.html,deferred,unvalidated_company_ai_causation,"The original company page explicitly makes the AI-feedback claim, but supplies no method, counterfactual, model description, or independent validation establishing AI's material contribution.","Company claim only, with the 1,337-second low-parameter and non-availability caveats.",sp-0018;sp-0029,S2;S3;S4,2026-08-31,Corrects the pack's source-characterization statement without promoting the causal claim.
fusion-rej-002,S-CN-STARTORUS,fusion-src-015,SUNIST-2 first plasma as independently validated evidence,https://startorus.com/progress-news/154.html,deferred,company_milestone_no_independent_validation,"The first-party source is real and relevant, but no stable independent experimental publication was located in the bounded pass.",Company-reported research-device milestone only.,sp-0027;sp-0028,S2;S3;S4,2026-08-31,Do not extrapolate to plant construction or commissioning.
fusion-rej-005,S-AI-KSTAR-D3D,fusion-src-019,Simplified 'up to 90%' fusion-performance improvement,https://doi.org/10.1038/s41467-024-48415-w,rejected_as_worded,denominator_and_metric_mismatch,"The paper reports several device- and metric-specific changes; the pack's compressed percentage omits the exact metric, denominator, device, and condition.",Cite the peer-reviewed cross-device experiment qualitatively or extract a metric-specific value with a Results/figure locator.,sp-0016;sp-0017;sp-0018,S2;S3,2026-08-31,The source remains staged; only the simplified number is rejected.
fusion-rej-007,S-CN-CRAFT-TF,fusion-src-002,CRAFT TF system is the world's largest/strongest without a definition-matched comparison,https://www.ipp.cas.cn/hnxny/kyxm/202603/t20260309_825283.html,rejected_as_worded,unsupported_superlative,"Dimensions, mass, current, stored energy, and field are different metrics; no stable comparison table establishes a single common 'largest/strongest' category.",Use individual parameters with their exact component definition and article locator.,sp-0021;sp-0026,S3;S4,2026-08-31,The component milestone remains staged.
fusion-rej-008,S-CN-MFG,missing,"Aggregate Chinese steel, cement, reactor count, or heavy-industry scale as fusion-grade capacity",missing,rejected,generic_industrial_scale_scope_mismatch,"Bulk industrial output does not establish qualified fusion magnets, RAFM/advanced alloys, nuclear welding/NDE, blankets, tritium systems, or plasma-facing components.","Adjacent industrial-mobilization context only, explicitly outside profile evidence.",sp-0020;sp-0021;sp-0023;sp-0024;sp-0025;sp-0026;sp-0027,S2;S3;S4;S5,2026-08-31,No national score or bilateral ranking follows from adjacent scale.
fusion-rej-009,S-CN-HH70-XH;S-CN-HH70-CO,fusion-src-011;fusion-src-012,HH70's roughly two-year build as a fusion power-plant construction floor,https://www.sh.news.cn/20260410/696d097c4a6c41b9af5f654314252a04/c.html,rejected,lifecycle_and_system_scope_mismatch,"HH70 is a small, non-DT research tokamak without a breeder blanket, turbine, integrated tritium plant, or commercial nuclear commissioning.",Optimistic analogue for small research-device iteration only.,sp-0027;sp-0028,S2;S4,2026-08-31,Do not transfer elapsed time to a pilot plant.
fusion-rej-010,S-CN-EAST;S-CN-HH70-XH;S-DE-W7X,fusion-src-001;fusion-src-011;fusion-src-032,Long plasma duration as commercial reliability or availability,https://www.ipp.cas.cn/xwdt/ttxw/202501/t20250120_410191.html,rejected,metric_category_error,"Pulse duration and energy-turnover metrics omit blanket life, tritium-plant availability, component replacement, turbine/grid systems, downtime, and capacity factor.","Plasma/facility milestone with device, discharge, and metric definitions preserved.",sp-0029,S2;S3;S4;S5,2026-08-31,No evidence of plant availability is implied.
fusion-rej-011,S-US-MPEX,fusion-src-026,MPEX as an operating fusion-spectrum neutron qualification facility,https://mpex.ornl.gov/murf-2026/,rejected_as_worded,facility_function_scope_mismatch,MPEX is a plasma-materials exposure facility under assembly; it can test already neutron-irradiated specimens but is not itself a fusion-spectrum neutron source.,Official intended capability for reactor-edge plasma exposure.,sp-0020;sp-0023,S2;S3;S4,2026-08-31,Do not call intended capability completed qualification.
fusion-rej-012,S-IAEA-SAFE,fusion-src-041,A completed fusion-specific IAEA safety standard exists,https://www.iaea.org/sites/default/files/25/02/evt2405228_information_sheet_.pdf,rejected_as_worded,programme_announcement_not_standard,The verified document describes a meeting and a safety report in development; it is not a published fusion-specific Safety Standard.,Evidence of international safety/regulatory work in progress.,sp-0030,S2;S3;S4;S5,2026-08-31,Keep IAEA general safety standards separate from fusion-specific guidance.
fusion-rej-013,S-US-SPARC;S-UK-STEP;S-TYPEONE;S-PROXIMA,fusion-src-031;fusion-src-035;fusion-src-043;fusion-src-044,Company or official programme dates as observed fusion-grid outcomes,multiple_verified_primary_pages,rejected,target_not_observed_outcome,"Targets and programme announcements do not demonstrate net energy, electricity export, fuel self-sufficiency, availability, or grid connection.","Target tracking with owner, date, pathway, and target status preserved.",sp-0027;sp-0028;sp-0031,S2;S3;S4,2026-08-31,No target is typed as an observed result.
fusion-rej-014,all,missing,No evidence located as evidence of absence,missing,rejected,absence_inference_not_supported,A bounded search result does not establish that evidence or capability does not exist.,Report 'no suitable source located in this bounded pass' with next search action.,sp-0014;sp-0015;sp-0016;sp-0017;sp-0018;sp-0019;sp-0020;sp-0021;sp-0022;sp-0023;sp-0024;sp-0025;sp-0026;sp-0027;sp-0028;sp-0029;sp-0030;sp-0031,S1;S2;S3;S4;S5,2026-08-31,"This is a method guardrail, not a source rejection."
