profile_id,stage_id,parent_stage_id,sector,workflow,pathway_id,application_context,lifecycle_phase,critical_path_role,S1,S2,S3,S4,S5,rationale,source_ids,coding_confidence,disagreement_summary,selected_review_ids,evidence_basis,coding_as_of,last_reviewed,revisit_triggers,proposed_by,proposed_model,reviewed_by,independent_review_by,approved_by,coding_status,review_status,version,changelog_note
sp-0001,requirements_and_architecture,not_applicable,Software engineering,Requirements and architecture,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,not_assessed,,,,,3,Derived representation only. Read all five linked dimension dispositions and original review rationales.,,medium,S1: exact_agreement; selected=missing; S2: exact_agreement; selected=missing; S3: exact_agreement; selected=missing; S4: exact_agreement; selected=missing; S5: selected_provisional_pending_named_expert; selected=3,independent-sp-0001-v1;seed-sp-0001-v1,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0002,implementation,not_applicable,Software engineering,Implementation,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,not_assessed,,,,,3,Derived representation only. Read all five linked dimension dispositions and original review rationales.,,medium,S1: exact_agreement; selected=missing; S2: exact_agreement; selected=missing; S3: exact_agreement; selected=missing; S4: exact_agreement; selected=missing; S5: selected_provisional_pending_named_expert; selected=3,independent-sp-0002-v1;seed-sp-0002-v1,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0003,verification_and_validation,not_applicable,Software engineering,Verification and validation,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,not_assessed,,,,,2,Derived representation only. Read all five linked dimension dispositions and original review rationales.,,medium,S1: exact_agreement; selected=missing; S2: exact_agreement; selected=missing; S3: one_point_difference; selected=missing; S4: exact_agreement; selected=missing; S5: selected_provisional_pending_named_expert; selected=2,independent-sp-0003-v1;seed-sp-0003-v1,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0004,deployment,not_applicable,Software engineering,Deployment,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",commercial_deployment,not_assessed,,,,,1,Derived representation only. Read all five linked dimension dispositions and original review rationales.,,medium,S1: exact_agreement; selected=missing; S2: one_point_difference; selected=missing; S3: one_point_difference; selected=missing; S4: one_point_difference; selected=missing; S5: selected_provisional_pending_named_expert; selected=1,independent-sp-0004-v1;seed-sp-0004-v1,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0005,operations_and_maintenance,not_applicable,Software engineering,Operations and maintenance,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",operations,not_assessed,,,,,1,Derived representation only. Read all five linked dimension dispositions and original review rationales.,,medium,S1: one_point_difference; selected=missing; S2: exact_agreement; selected=missing; S3: exact_agreement; selected=missing; S4: exact_agreement; selected=missing; S5: selected_provisional_pending_named_expert; selected=1,independent-sp-0005-v1;seed-sp-0005-v1,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0006,product_design,not_applicable,Discrete manufacturing,Product design,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",development,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,,medium,S1: exact_agreement; selected=missing; S2: exact_agreement; selected=missing; S3: exact_agreement; selected=missing; S4: exact_agreement; selected=missing; S5: exact_agreement; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0007,process_engineering,not_applicable,Discrete manufacturing,Process engineering,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",development,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,,medium,S1: one_point_difference; selected=missing; S2: exact_agreement; selected=missing; S3: exact_agreement; selected=missing; S4: one_point_difference; selected=missing; S5: exact_agreement; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0008,supply_and_tooling,not_applicable,Discrete manufacturing,Supply and tooling,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",scale_up,not_assessed,,,,,2,Derived representation only. Read all five linked dimension dispositions and original review rationales.,,medium,S1: exact_agreement; selected=missing; S2: one_point_difference; selected=missing; S3: exact_agreement; selected=missing; S4: one_point_difference; selected=missing; S5: selected_provisional_pending_named_expert; selected=2,independent-sp-0008-v1;seed-sp-0008-v1,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0009,retooling_and_commissioning,not_applicable,Discrete manufacturing,Retooling and commissioning,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",scale_up,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,,medium,S1: exact_agreement; selected=missing; S2: one_point_difference; selected=missing; S3: exact_agreement; selected=missing; S4: one_point_difference; selected=missing; S5: exact_agreement; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0010,production_planning_and_scheduling,not_applicable,Discrete manufacturing,Production planning and scheduling,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",operations,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,,medium,S1: exact_agreement; selected=missing; S2: one_point_difference; selected=missing; S3: one_point_difference; selected=missing; S4: exact_agreement; selected=missing; S5: exact_agreement; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
