change_id,source_or_claim,old_status_at_cutoff,current_status,change_date,affected_profile_ids,affected_s_dimensions,materiality,smallest_action,candidate_source_ids,source_locator,notes
fusion-change-001,BEST core-equipment fabrication status,The 2026-08-12 pack did not include the 14 August component acceptance/delivery milestone.,Shanghai SASAC reports acceptance and delivery of a second one-eighth vacuum-vessel sector and factory ring assembly of a third one-eighth cold-shield sector.,2026-08-14,sp-0026;sp-0027,S2;S3;S4;S5,material_source_refresh_not_profile_recode,Add fusion-src-016 to the staged source set and retain component-level scope.,fusion-src-016,Article paragraphs 2-3.,"No change to S values, owner dispositions, or construction-completion status."
fusion-change-002,HH70 AI-causation source characterization,The pack said the primary Energy Singularity source did not establish AI causation.,"The primary company page explicitly attributes the 1,337-second result to AI-based feedback-control optimization, but provides no independent or methodological validation.",2026-02-02,sp-0018;sp-0029,S2;S3;S4,material_source_characterization_correction,Correct the source description; defer promotion of the AI causal claim and permit company-claim use only.,fusion-src-013,Headline and article lead.,"This is a verification correction, not a post-cutoff event or observed AI result."
fusion-change-003,U.S. fusion rulemaking status,Proposed NRC Part 30-based rule and draft guidance; no final rule.,The NRC page updated 27 August 2026 still lists the February proposed rule; no final fusion rule is listed.,2026-08-27,sp-0030,S2;S3;S4;S5,freshness_check_no_material_change,Refresh last_verified and keep proposed-rule status.,fusion-src-040,Page update footer and rulemaking-milestones table.,Do not infer licensing throughput from rulemaking status.
fusion-change-004,PRC Atomic Energy Law final-law locator,The evidence bank incorrectly cited Article 37 as the final law's fusion-specific regulatory provision.,The final law supports controlled-fusion R&D in Article 14 and establishes fusion-specific supervision plus graded/classified management in Article 39; Article 37 concerns disused radioactive sources.,2025-09-12,sp-0030,S2;S3;S4;S5,p1_final_law_locator_correction,Replace the mirror and draft-number carryover with the CAEA final text and Articles 14/39.,fusion-src-004,"CAEA full text, Articles 14, 37, 39, and 62.",Earlier draft numbering differed; never cite draft numbering as the final-law locator.
fusion-change-005,HEAT-ML source and numeric locator,"The PPPL locator and linked paper were unresolved, so the claim was deferred.","The exact PPPL page and linked Fusion Engineering and Design DOI verify the scoped 30-minute-to-milliseconds calculation result and approximately 1,000-simulation training set.",2025-08-13,sp-0015,S1;S2;S3,p1_locator_and_numeric_resolution,Stage fusion-src-023 as a simulation/design proof of concept with geometry limits.,fusion-src-023,PPPL paragraphs 95-103; DOI 10.1016/j.fusengdes.2025.115010.,"Do not transfer the calculation result to plant schedule, qualification, or generic PFC performance."
fusion-change-006,ITER sixth sector-module milestone locator,The sixth-of-nine July 2026 count lacked a precise original locator and was deferred.,"ITER's official article records the 27-28 July lift, the sixth of nine modules, and two-thirds of the plasma chamber in place.",2026-07-29,sp-0027,S2;S3;S4,p1_locator_and_numeric_resolution,Stage fusion-src-037 as an observed construction/facility milestone only.,fusion-src-037,ITER article paragraphs 162-167 and road-to-ITER milestone page.,"Not an AI result, commissioning, chamber completion, or plant completion."
fusion-change-007,NSTX-U 93% living-page status locator,The 93% value was not found on the previously used PPPL news article and was deferred.,PPPL's NSTX-U project page states that the Recovery Project is 93% complete as checked 2026-08-31.,2026-08-31,sp-0027;sp-0028,S2;S3;S4,p1_locator_and_numeric_resolution,Retain the percentage only as mutable project status with a revisit trigger.,fusion-src-030,"PPPL NSTX-U page, section 'Recovery Project'.","Not completed recommissioning, a fixed historical statistic, or an experimental outcome."
fusion-change-008,IFMIF-DONES materials-qualification evidence,The bank lacked a targeted fusion-like neutron-source design for the materials-qualification time floor.,"Peer-reviewed and official programme sources define accelerator-driven fusion-like irradiation, multi-year HFTM targets, material-specific matching, and downstream PIE.",2026-08-31,sp-0020,S2;S3;S4,p1_targeted_load_bearing_source_addition,Add fusion-src-045 and fusion-src-046 with under-development and no-completed-dataset limits.,fusion-src-045;fusion-src-046,DOI 10.1088/1741-4326/add172; IAEA contribution Description paragraphs 1-2.,This improves source coverage without selecting or recoding any S value.
fusion-change-009,Licensing S2/S4 evidence overclaim,Coverage rows treated the legal/rulemaking set as direct support for licensing S2 and S4.,S2 is complicated/unresolved empirically and S4 is only indirect/partial; the 90-day comment period remains explicitly non-comparable to a plant-licence review.,2026-08-31,sp-0030,S2;S4,p1_claim_support_correction_not_profile_recode,Correct fusion-clm-082 and fusion-clm-084 plus dependent coverage wording.,fusion-src-004;fusion-src-039;fusion-src-040;fusion-src-041,Claim-source map and source limitations.,No S value or owner disposition changes.
fusion-change-010,Legal/regulatory evidence category,The final PRC law and NRC rulemaking records were categorized as programme announcements.,"The bank now uses observed legal/regulatory status while keeping enacted law, proposed rule, and current rulemaking status distinct.",2026-08-31,sp-0030,S2;S3;S4;S5,p1_research_bank_category_correction,Update only the research-bank taxonomy and validators.,fusion-src-004;fusion-src-039;fusion-src-040,Final law; Federal Register proposed rule; NRC status page.,The global public evidence-basis ontology is unchanged.
