profile_id,stage_id,workflow,sector,pathway_id,seed_review_id,seed_s5,independent_review_id,independent_s5,numeric_difference,comparison_status,owner_exception_id,owner_disposition,owner_rationale,adjudication_status,selected_s5,post_reconciliation_route
sp-0001,requirements_and_architecture,Requirements and architecture,Software engineering,mature_software_delivery_and_maintenance,seed-sp-0001-v1,3,independent-sp-0001-v1,2,1,one_point_difference,,,,audit_trail_retained_pending_targeted_s5_adjudication,,clarify_S5_then_targeted_S5_adjudication
sp-0002,implementation,Implementation,Software engineering,mature_software_delivery_and_maintenance,seed-sp-0002-v1,4,independent-sp-0002-v1,3,1,one_point_difference,,,,audit_trail_retained_pending_targeted_s5_adjudication,,clarify_S5_then_targeted_S5_adjudication
sp-0003,verification_and_validation,Verification and validation,Software engineering,mature_software_delivery_and_maintenance,seed-sp-0003-v1,4,independent-sp-0003-v1,2,2,difference_ge_2,exc-sp-0003-s5,prefer_independent,"Select S5=2. Under the bounded escaped-consequence rule, a false negative or incorrect validation can directly permit a defect to pass into release and create material rework or service impact. S5=4 understates that first-order consequence; the non-safety-critical scope keeps the value above the bottom anchors.",owner_disposition_recorded_pending_targeted_s5_adjudication,,clarify_S5_then_targeted_S5_adjudication
sp-0004,deployment,Deployment,Software engineering,mature_software_delivery_and_maintenance,seed-sp-0004-v1,2,independent-sp-0004-v1,1,1,one_point_difference,,,,audit_trail_retained_pending_targeted_s5_adjudication,,clarify_S5_then_targeted_S5_adjudication
sp-0005,operations_and_maintenance,Operations and maintenance,Software engineering,mature_software_delivery_and_maintenance,seed-sp-0005-v1,2,independent-sp-0005-v1,1,1,one_point_difference,,,,audit_trail_retained_pending_targeted_s5_adjudication,,clarify_S5_then_targeted_S5_adjudication
sp-0008,supply_and_tooling,Supply and tooling,Discrete manufacturing,discrete_manufacturing_npi_and_operations,seed-sp-0008-v1,1,independent-sp-0008-v1,2,1,one_point_difference,,,,audit_trail_retained_pending_targeted_s5_adjudication,,clarify_S5_then_targeted_S5_adjudication
sp-0011,production_and_process_control,Production and process control,Discrete manufacturing,discrete_manufacturing_npi_and_operations,seed-sp-0011-v1,2,independent-sp-0011-v1,1,1,one_point_difference,,,,audit_trail_retained_pending_targeted_s5_adjudication,,clarify_S5_then_targeted_S5_adjudication
sp-0012,quality_assurance,Quality assurance,Discrete manufacturing,discrete_manufacturing_npi_and_operations,seed-sp-0012-v1,2,independent-sp-0012-v1,1,1,one_point_difference,,,,audit_trail_retained_pending_targeted_s5_adjudication,,clarify_S5_then_targeted_S5_adjudication
sp-0013,maintenance_and_continuous_improvement,Maintenance and continuous improvement,Discrete manufacturing,discrete_manufacturing_npi_and_operations,seed-sp-0013-v1,2,independent-sp-0013-v1,1,1,one_point_difference,,,,audit_trail_retained_pending_targeted_s5_adjudication,,clarify_S5_then_targeted_S5_adjudication
sp-0014,theory_and_system_design,Theory and system design,"Fusion, magnetic confinement",tokamak_research_to_pilot_plant_demonstration,seed-sp-0014-v1,3,independent-sp-0014-v1,2,1,one_point_difference,,,,audit_trail_retained_pending_targeted_s5_adjudication,,clarify_S5_then_targeted_S5_adjudication
