"observation_id","geography","period","panel","measure","value","unit","denominator","survey_universe","source_id","evidence_label","comparability_class","definition","caveat","last_verified"
"obs-adoption-depth-001","euro_area","2025 Q4; reference period October-December 2025","ecb_safe_intensity","AI not currently in use","27","% of firms","All firms responding to SAFE QA1, weighted","Euro-area firms in SAFE round 37; 5,067 sampled firms; the smallest euro-area countries are excluded from ECB rounds","src-0038","observed","directly-comparable","SAFE QA1 response category: not currently in use","Self-reported intensity. The four published whole-number categories total 98%; the unreported residual may reflect the offered don't-know response and rounding, so the figure does not renormalize.","2026-08-21"
"obs-adoption-depth-002","euro_area","2025 Q4; reference period October-December 2025","ecb_safe_intensity","Very infrequent or experimental AI use","33","% of firms","All firms responding to SAFE QA1, weighted","Euro-area firms in SAFE round 37; 5,067 sampled firms; the smallest euro-area countries are excluded from ECB rounds","src-0038","observed","directly-comparable","SAFE QA1 response category: very infrequent use or use in pilot projects or experimentally","Self-reported intensity. This category counts toward headline any use. The four published categories total 98%, with an unreported residual.","2026-08-21"
"obs-adoption-depth-003","euro_area","2025 Q4; reference period October-December 2025","ecb_safe_intensity","Moderate AI use","31","% of firms","All firms responding to SAFE QA1, weighted","Euro-area firms in SAFE round 37; 5,067 sampled firms; the smallest euro-area countries are excluded from ECB rounds","src-0038","observed","directly-comparable","SAFE QA1 response category: moderate use","Self-reported intensity. The four published categories total 98%, with an unreported residual.","2026-08-21"
"obs-adoption-depth-004","euro_area","2025 Q4; reference period October-December 2025","ecb_safe_intensity","Significant AI use","7","% of firms","All firms responding to SAFE QA1, weighted","Euro-area firms in SAFE round 37; 5,067 sampled firms; the smallest euro-area countries are excluded from ECB rounds","src-0038","observed","directly-comparable","SAFE QA1 response category: significant use","Self-reported intensity. Significant is the questionnaire category; it is source-specific and not a harmonized deep-use threshold.","2026-08-21"
"obs-adoption-depth-005","united_states","November 2025-January 2026 supplement reference period; Q23 prior two weeks","btos_q23_current_use","Reported AI use in at least one business function in the prior two weeks","18","% of firms","All in-scope employer businesses responding to Q23, firm-weighted","Nonfarm U.S. employer businesses, single- and multi-location, in the United States, District of Columbia, and Puerto Rico, subject to documented BTOS industry exclusions","src-0048","observed","not-directly-comparable","Reported AI use in any business function under revised BTOS Q23 over the prior two weeks","Rounded working-paper headline; Table C.7 reports 17.9%. Revised wording began 2025-11-17 and is not a continuous series with the earlier produce-goods-or-services question.","2026-08-21"
"obs-adoption-depth-007","united_states","November 2025-January 2026 supplement reference period; Q24 prior six months","btos_q24_function_breadth","Functional AI users using AI in one to three business functions in the prior six months","57","% of Q24 functional AI users","Firms reporting AI use in at least one of 15 Q24 business functions, firm-weighted","Nonfarm U.S. employer businesses, single- and multi-location, in the United States, District of Columbia, and Puerto Rico, subject to documented BTOS industry exclusions","src-0048","observed","not-directly-comparable","Approximately 57% of Q24 functional adopters reported use in only one to three of 15 listed business functions","Q24 uses a prior-six-month window and a functional-adopter denominator; it is not conditional on the same prior-two-week group underlying the 18% Q23 value.","2026-08-21"
"obs-adoption-depth-008","united_states","November 2025-January 2026 supplement reference period; Q24 prior six months","btos_q24_function_breadth","Comprehensive adopters in the prior six months","4","% of Q24 functional AI users","Firms reporting AI use in at least one of 15 Q24 business functions, firm-weighted","Nonfarm U.S. employer businesses, single- and multi-location, in the United States, District of Columbia, and Puerto Rico, subject to documented BTOS industry exclusions","src-0048","estimated","not-directly-comparable","Latent-class estimate for adopters with high use probabilities across nearly the full business-function set","Working-paper model estimate, not a direct survey response and not equivalent to use in all 15 functions; about 1% of all firms. It does not form a partition with the 57% measure.","2026-08-21"
"obs-adoption-depth-010","european_union","2025","eurostat_adoption_size","Small enterprises using at least one listed AI technology","17","% of small enterprises","EU enterprises with 10-49 employees and self-employed persons","Enterprises with 10 or more employees and self-employed persons in covered NACE Rev. 2 sectors; micro-enterprises are optional and outside the harmonized core","src-0042","observed","context-only","Small enterprises with 10-49 employees and self-employed persons using at least one of eight listed AI technology types","Firm-size adoption gradient, not use depth. The article reports the small-enterprise value rounded to 17%.","2026-08-21"
"obs-adoption-depth-011","european_union","2025","eurostat_adoption_size","Medium enterprises using at least one listed AI technology","30.36","% of medium enterprises","EU enterprises with 50-249 employees and self-employed persons","Enterprises with 10 or more employees and self-employed persons in covered NACE Rev. 2 sectors; micro-enterprises are optional and outside the harmonized core","src-0042","observed","context-only","Medium enterprises with 50-249 employees and self-employed persons using at least one of eight listed AI technology types","Firm-size adoption gradient, not use depth.","2026-08-21"
"obs-adoption-depth-012","european_union","2025","eurostat_adoption_size","Large enterprises using at least one listed AI technology","55.03","% of large enterprises","EU enterprises with 250 or more employees and self-employed persons","Enterprises with 10 or more employees and self-employed persons in covered NACE Rev. 2 sectors; micro-enterprises are optional and outside the harmonized core","src-0042","observed","context-only","Large enterprises with 250 or more employees and self-employed persons using at least one of eight listed AI technology types","Firm-size adoption gradient, not use depth.","2026-08-21"
