exception_id,profile_id,stage_id,s_dimension,owner_disposition,owner_rationale,decision_state,selected_s_value
exc-sp-0003-s5,sp-0003,verification_and_validation,S5,prefer_independent,"Select S5=2. Under the bounded escaped-consequence rule, a false negative or incorrect validation can directly permit a defect to pass into release and create material rework or service impact. S5=4 understates that first-order consequence; the non-safety-critical scope keeps the value above the bottom anchors.",owner_preference_recorded,
exc-sp-0016-s2,sp-0016,experiment_selection,S2,prefer_seed,"Select S2=1. The document or schedule can be revised quickly, but the ordinary feedback that reveals whether experiment selection was sound depends on scarce device campaigns and can take many months. This is slower than the weeks-to-months midpoint without being intrinsically decade-scale.",owner_preference_recorded,
exc-sp-0016-s3,sp-0016,experiment_selection,S3,prefer_independent,"Select S3=2. Generating candidate experiment plans is cheap, while validating them consumes scarce shots and facility time. That is exactly the rubric's meaningful-resources/scarce-system-but-repeatable case; S3=1 overweights the scarcity of the decisive subset.",owner_preference_recorded,
exc-sp-0016-s4,sp-0016,experiment_selection,S4,prefer_independent,"Select S4=4. Physical experiment execution is explicitly outside the scoped stage. Campaign availability appropriately lowers S2 and S3, but it should not be imported again as an intrinsic physical floor inside experiment selection.",owner_preference_recorded,
exc-sp-0018-s1,sp-0018,plasma_control,S1,prefer_independent,Select S1=2. The frozen stage combines control-law and simulator work with live actuation and testing on physical plasma. Both informational and physical work are constitutive of progress; describing the stage as predominantly informational is too strong.,owner_preference_recorded,
exc-sp-0018-s2,sp-0018,plasma_control,S2,prefer_seed,"Select S2=2. Control signals and simulator loops are fast, but validated control learning spans shots and campaigns. The ordinary scoped learn-test-revise loop is therefore weeks to months rather than the faster S2=3 interpretation.",owner_preference_recorded,
exc-sp-0020-s2,sp-0020,materials_qualification,S2,needs_better_evidence,Retain provisional S2=0 because both coders agree and the fusion evidence base points to multi-year irradiation and post-irradiation examination. Do not promote the value until qualification-facility and exposure-time sources are verified and assigned canonical source IDs.,unresolved,
exc-sp-0020-s4,sp-0020,materials_qualification,S4,needs_better_evidence,"Retain provisional S4=0 because neutron exposure, damage accumulation, cooling and post-irradiation examination are genuine physical time floors. The value is substantively well supported but cannot advance while the row has no canonical source IDs.",unresolved,
exc-sp-0024-s3,sp-0024,tritium_and_fuel_cycle,S3,prefer_seed,"Select S3=1. Direct tritium-capable tests are scarce and tightly controlled, but the broad frozen stage also includes repeatable modelling, surrogate-isotope work and subsystem tests. A low intermediate value better represents the mixed attempt set than an absolute bottom anchor.",owner_preference_recorded,
exc-sp-0024-s5,sp-0024,tritium_and_fuel_cycle,S5,prefer_seed,"Select S5=1. Tritium-accountancy, containment or release errors can have serious radiological and regulatory consequences, but development-stage work is conducted through layered containment and many errors remain detectable and recoverable. S5=0 overgeneralizes the worst case to every error.",owner_preference_recorded,
exc-sp-0025-s2,sp-0025,blankets,S2,prefer_seed,Select S2=0. The decision-relevant loop is integrated blanket and tritium-breeding validation in a fusion-relevant neutron environment. That loop is measured in years and is not yet available at power-plant scale; faster analysis and subcomponent tests do not close it.,owner_preference_recorded,
exc-sp-0025-s5,sp-0025,blankets,S5,prefer_seed,"Select S5=1. Blanket errors can affect heat removal, tritium functions and radiological safety, but the scoped stage is design, testing and pre-integration, where staged experiments and review contain many failures. The consequences are very serious without making every error catastrophic or irreversible.",owner_preference_recorded,
exc-sp-0028-s3,sp-0028,commissioning,S3,prefer_independent,"Select S3=0. The decisive attempts are integrated startup and system-proving operations on one unique facility. Subsystem checks can be repeated, but facility states, access, specialist teams and interface dependencies make stage-level attempts scarce, expensive and predominantly serial.",owner_preference_recorded,
exc-sp-0028-s5,sp-0028,commissioning,S5,prefer_seed,"Select S5=1. Commissioning mistakes can damage unique installed hardware and create serious hazards, yet commissioning is deliberately staged, interlocked and reversible where practicable. The stage is low-tolerance, but S5=0 treats the severe tail as the ordinary error consequence.",owner_preference_recorded,
exc-sp-0029-s5,sp-0029,reliability_demonstration,S5,prefer_seed,"Select S5=1. Component failures are the phenomenon reliability demonstration is designed to reveal and should not automatically be treated as errors by the stage. Errors in test conduct or inference can still waste irreplaceable operating time, so the stage remains low-tolerance rather than catastrophic by definition.",owner_preference_recorded,
exc-sp-0030-s1,sp-0030,licensing,S1,prefer_independent,"Select S1=4. Licensing work is fundamentally evidence review, safety analysis, communication and formal decision-making. Inspections and as-built evidence are important inputs, but importing their physical production into this stage would blur licensing with construction, commissioning and qualification.",owner_preference_recorded,
exc-sp-0030-s2,sp-0030,licensing,S2,needs_domain_review,"Do not select 0 or 1 yet. Licensing feedback speed is jurisdiction- and pathway-dependent, and the frozen row names no jurisdiction. A fusion-regulatory reviewer should determine whether a shared profile is defensible or whether U.S., Chinese and other licensing variants are required.",unresolved,
exc-sp-0030-s3,sp-0030,licensing,S3,needs_domain_review,"Do not select 0 or 1 yet. Application drafting can be parallel and repeatable, while formal review cycles are scarce and serial; the balance depends strongly on the licensing regime. Resolve together with the jurisdiction-specific licensing scope.",unresolved,
exc-sp-0030-s4,sp-0030,licensing,S4,prefer_independent,"Select S4=4. S4 concerns intrinsic physical time floors. Regulatory waiting, hearings and review latency are institutional and belong in the governance/C6 layer; construction and operating evidence are separate stages rather than physical processes inside licensing.",owner_preference_recorded,
exc-sp-0030-s5,sp-0030,licensing,S5,preserve_disagreement,"Preserve the 0-2 disagreement pending the S5 clarification and regulatory domain review. An erroneous approval can have grave downstream consequences, so S5=2 is too permissive; however, harm also requires operation and additional conditions, so S5=0 is too absolute. A later adjudicated value may be 1, but it should not be manufactured from two model submissions.",unresolved,
exc-sp-0031-s3,sp-0031,grid_integration,S3,needs_better_evidence,"Preserve the 0-1 range. A pilot connection combines cheap study iterations with one scarce physical connection and energized test sequence. No directly comparable fusion-grid case exists, and site reuse, network strength and outage rules can change the topology.",unresolved,
exc-sp-0031-s4,sp-0031,grid_integration,S4,needs_better_evidence,"Preserve the 0-1 range. Equipment delivery, switchyard work, outage windows and energization impose physical floors, but an existing power-plant site may reuse substantial infrastructure. The generic row is too underspecified for a single value without a site/pathway case.",unresolved,
exc-sp-0031-s5,sp-0031,grid_integration,S5,prefer_seed,"Select S5=1. Protection or integration errors can damage equipment and disturb a shared network, but layered protection, staged energization and utility operating procedures normally limit the direct consequence. This is very low tolerance, not automatically catastrophic or irreversible.",owner_preference_recorded,
