license_id,dataset_name,owner,canonical_url,license_name,license_url,intended_use,attribution_required,redistribution_allowed,verification_status,verified_date,notes
lic-001,Epoch AI Data Hub,Epoch AI,https://epoch.ai/latest/announcing-epoch-ai-data-hub,Creative Commons Attribution (version not stated on cited page),missing,Related-work citation and possible future chart data,true,unknown,needs_review,2026-08-27,"Publisher says free to use distribute and reproduce with credit; confirm the exact CC version and each subdataset's inherited terms before reuse"
lic-002,AI meets trade,OECD,https://doi.org/10.1787/13081644-en,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Related-work citation and model-context summary,true,true,cleared,2026-08-27,"Publication PDF states CC BY 4.0; underlying third-party data may retain separate terms"
lic-003,Anthropic Economic Index,Anthropic,https://www.anthropic.com/economic-index,Terms not verified,missing,Related-work citation only,unknown,false,citation_only,2026-08-27,"Do not redistribute downloadable datasets until their dataset-specific terms are checked"
lic-004,Global AI Vibrancy Tool,Stanford HAI,https://hai.stanford.edu/ai-index/global-vibrancy-tool,Terms not verified,missing,Related-work citation only,unknown,false,citation_only,2026-08-27,"Method page verified; data-download license still requires review"
lic-005,METR Time Horizon 1.1,METR,https://metr.org/blog/2026-1-29-time-horizon-1-1/,Terms not verified,missing,Related-work citation only,unknown,false,citation_only,2026-08-27,"Existing canonical source use is citation and reported measurements; no bulk redistribution authorized here"

lic-reader-ecb,ECB SAFE Q4 2025,European Central Bank,https://www.ecb.europa.eu/stats/ecb_surveys/safe/html/ecb.safe202602.en.html,ECB website copyright conditions,https://www.ecb.europa.eu/services/using-our-site/disclaimer/html/index.en.html,"Attributed original analysis of manually transcribed reported facts; no copied figures, publication text or raw datasets",true,false,cleared,2026-09-06,Finite reader release: original attributed paraphrase and limited reported facts only. Citation does not grant permission to redistribute source materials or linked datasets; commercial reuse requires separate review.
lic-reader-census,CES Working Paper 26-25,US Census / paper authors,https://www.census.gov/library/working-papers/2026/adrm/CES-WP-26-25.html,Citation and manually reported facts; no dataset license asserted,https://www2.census.gov/foia/ds_policies/ds027.pdf,"Attributed original analysis of manually transcribed reported facts; no copied figures, publication text or raw datasets",true,false,citation_only,2026-09-06,Finite reader release: original attributed paraphrase and limited reported facts only. Citation does not grant permission to redistribute source materials or linked datasets; commercial reuse requires separate review.
lic-reader-eurostat,"Use of artificial intelligence in enterprises, 2025",Eurostat,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Use_of_artificial_intelligence_in_enterprises,Eurostat statistical reuse with attribution,https://ec.europa.eu/eurostat/help/copyright-notice,"Attributed original analysis of manually transcribed reported facts; no copied figures, publication text or raw datasets",true,false,cleared,2026-09-06,Finite reader release: original attributed paraphrase and limited reported facts only. Citation does not grant permission to redistribute source materials or linked datasets; commercial reuse requires separate review.
lic-reader-qje,Generative AI at Work,Brynjolfsson; Li; Raymond / OUP,https://academic.oup.com/qje/article/140/2/889/7990658,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,"Attributed original analysis of manually transcribed reported facts; no copied figures, publication text or raw datasets",true,false,citation_only,2026-09-06,Finite reader release: original attributed paraphrase and limited reported facts only. Citation does not grant permission to redistribute source materials or linked datasets; commercial reuse requires separate review.
lic-reader-metr,Developer experiment v2 and February 2026 update,METR,https://arxiv.org/html/2507.09089v2,Paper CC BY 4.0; update website terms unverified,https://creativecommons.org/licenses/by/4.0/,"Attributed original analysis of manually transcribed reported facts; no copied figures, publication text or raw datasets",true,false,citation_only,2026-09-06,Finite reader release: original attributed paraphrase and limited reported facts only. Citation does not grant permission to redistribute source materials or linked datasets; commercial reuse requires separate review.
lic-reader-tcv,Magnetic control of tokamak plasmas,Degrave et al. / Nature,https://doi.org/10.1038/s41586-021-04301-9,Publisher reuse terms not verified,missing,"Attributed original analysis of manually transcribed reported facts; no copied figures, publication text or raw datasets",true,false,citation_only,2026-09-06,Finite reader release: original attributed paraphrase and limited reported facts only. Citation does not grant permission to redistribute source materials or linked datasets; commercial reuse requires separate review.
