candidate_source_id,promotion_disposition,canonical_source_id,review_status,promotion_reason,remaining_use_restriction,translation_or_domain_review_needed,last_verified,notes,promotion_date,verification_status,verified_locator
fusion-src-001,promoted,fusion-src-001,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. A long plasma pulse is not net energy, plant availability, component life, or an AI result. Direct public quotation or load-bearing translated wording remains blocked until the stated native-language/specialist review is completed. Rejected use fusion-rej-010: Pulse duration and energy-turnover metrics omit blanket life, tritium-plant availability, component replacement, turbine/grid systems, downtime, and capacity factor. Permitted limited use: Plasma/facility milestone with device, discharge, and metric definitions preserved. No evidence of plant availability is implied.","Fusion-domain review before profile use; no review performed in this source-promotion task. Machine-assisted translation checked against the Chinese page; native-language review required before public quotation. Required reviewer: native Chinese reviewer, with engineering specialist review for technical wording.",2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed facility milestone. Pack source: S-CN-EAST.",2026-09-01,verified_official_primary,https://www.ipp.cas.cn/xwdt/ttxw/202501/t20250120_410191.html
fusion-src-002,promoted,fusion-src-002,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Component completion is not integrated tokamak or power-plant performance. Direct public quotation or load-bearing translated wording remains blocked until the stated native-language/specialist review is completed. Rejected use fusion-rej-007: Dimensions, mass, current, stored energy, and field are different metrics; no stable comparison table establishes a single common 'largest/strongest' category. Permitted limited use: Use individual parameters with their exact component definition and article locator. The component milestone remains staged.","Fusion-domain review before profile use; no review performed in this source-promotion task. Machine-assisted translation checked against the Chinese page; engineering terms need native specialist review if quoted. Required reviewer: native Chinese reviewer, with engineering specialist review for technical wording.",2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed facility milestone. Pack source: S-CN-CRAFT-TF.",2026-09-01,verified_official_primary,https://www.ipp.cas.cn/hnxny/kyxm/202603/t20260309_825283.html
fusion-src-003,promoted,fusion-src-003,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. The page republishes a 2018 China Engineering Science article in 2023; it is not a newly issued 2023 roadmap or an observed result. Direct public quotation or load-bearing translated wording remains blocked until the stated native-language/specialist review is completed.","Fusion-domain review before profile use; no review performed in this source-promotion task. Machine-assisted translation checked against the Chinese text; preserve the 2018-origin/2023-republication distinction. Required reviewer: native Chinese reviewer, with engineering specialist review for technical wording.",2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: commentary. Pack source: S-CN-ROADMAP.",2026-09-01,verified_official_primary,https://www.sastind.gov.cn/n10086205/n10086408/n10104280/c10386340/content.html
fusion-src-004,promoted,fusion-src-004,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. An enacted law establishes legal status and authority; it is not a completed fusion licensing case or evidence of review duration. Earlier draft numbering differed, and final Article 37 concerns disused radioactive-source recovery/disposal. Direct public quotation or load-bearing translated wording remains blocked until the stated native-language/specialist review is completed.",Fusion-domain review before profile use; no review performed in this source-promotion task. Final-law locators checked against the official Chinese full text: Articles 14 and 39. Earlier draft numbering must not be used as the final-law locator; legal interpretation requires a qualified reviewer. Required reviewer: qualified Chinese legal/regulatory reviewer. Qualified legal/regulatory review before interpretation or licensing-performance inference.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed legal/regulatory status. Pack source: S-CN-LAW.",2026-09-01,verified_official_primary,https://www.caea.gov.cn/n6760338/n6760344/n10763762/n10763767/c10704020/content.html
fusion-src-005,promoted,fusion-src-005,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Official operator reporting, not independent validation; temperature milestones are not net energy or reliability. Direct public quotation or load-bearing translated wording remains blocked until the stated native-language/specialist review is completed. Reviewed source identity does not supply independent validation; company/operator reports and repeated company data must not be used as independently observed empirical outcomes.","Fusion-domain review before profile use; no review performed in this source-promotion task. Machine-assisted translation checked against the Chinese PDF; precise heating-power values were not promoted. Required reviewer: native Chinese reviewer, with engineering specialist review for technical wording.",2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed facility milestone. Pack source: S-CN-HL3.",2026-09-01,verified_official_primary,https://www.cnnc.com.cn/cnnc/resource/cms/article/1373577/836c94bef055494188026fb7cef9c850/2025060311055363962.pdf
fusion-src-006,promoted,fusion-src-006,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. The date is an official target, not an observed experiment, completion milestone, or schedule guarantee. Direct public quotation or load-bearing translated wording remains blocked until the stated native-language/specialist review is completed.","Fusion-domain review before profile use; no review performed in this source-promotion task. Machine-assisted translation checked against the Chinese page; retain target language. Required reviewer: native Chinese reviewer, with engineering specialist review for technical wording.",2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: official target. Pack source: S-CN-HL3-ROAD.",2026-09-01,verified_official_primary,https://www.caea.gov.cn/n6760338/n6760342/c10711680/content.html
fusion-src-007,promoted,fusion-src-007,reviewed,"Issue #37 owner/PM approval; verified_peer_reviewed in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Research-device demonstration; no nuclear-safety case, plant reliability, or transfer to pilot conditions.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed experimental result. Pack source: S-CN-HL3-AI.",2026-09-01,verified_peer_reviewed,https://doi.org/10.1038/s42005-025-02302-y
fusion-src-008,promoted,fusion-src-008,reviewed,"Issue #37 owner/PM approval; verified_peer_reviewed in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Prediction performance is not autonomous avoidance, safe termination, or pilot-plant error tolerance.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: proof of concept. Pack source: S-CN-EAST-AI.",2026-09-01,verified_peer_reviewed,https://doi.org/10.1088/1361-6587/ade5c5
fusion-src-009,promoted,fusion-src-009,reviewed,"Issue #37 owner/PM approval; verified_peer_reviewed in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Classification benchmark; not a closed-loop control or safety demonstration.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: proof of concept. Pack source: S-CN-EAST-AI.",2026-09-01,verified_peer_reviewed,https://doi.org/10.1088/1741-4326/ade3ed
fusion-src-010,promoted,fusion-src-010,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Organizational formation is not a facility, manufacturing, or power milestone.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: programme announcement. Pack source: S-CN-CFEC.",2026-09-01,verified_official_primary,https://en.cnnc.com.cn/2025-07/31/c_1113670.htm
