review_id,profile_id,coder_type,coder_role,coder_name,coder_model,S1,S2,S3,S4,S5,rationale,source_ids,coding_as_of,submitted_at,submission_status,notes
,sp-0001,,independent_coder,,,,,,,,,,,,,
,sp-0002,,independent_coder,,,,,,,,,,,,,
,sp-0003,,independent_coder,,,,,,,,,,,,,
,sp-0004,,independent_coder,,,,,,,,,,,,,
,sp-0005,,independent_coder,,,,,,,,,,,,,
,sp-0006,,independent_coder,,,,,,,,,,,,,
,sp-0007,,independent_coder,,,,,,,,,,,,,
,sp-0008,,independent_coder,,,,,,,,,,,,,
,sp-0009,,independent_coder,,,,,,,,,,,,,
,sp-0010,,independent_coder,,,,,,,,,,,,,
,sp-0011,,independent_coder,,,,,,,,,,,,,
,sp-0012,,independent_coder,,,,,,,,,,,,,
,sp-0013,,independent_coder,,,,,,,,,,,,,
,sp-0014,,independent_coder,,,,,,,,,,,,,
,sp-0015,,independent_coder,,,,,,,,,,,,,
,sp-0016,,independent_coder,,,,,,,,,,,,,
,sp-0017,,independent_coder,,,,,,,,,,,,,
,sp-0018,,independent_coder,,,,,,,,,,,,,
,sp-0019,,independent_coder,,,,,,,,,,,,,
,sp-0020,,independent_coder,,,,,,,,,,,,,
,sp-0021,,independent_coder,,,,,,,,,,,,,
,sp-0022,,independent_coder,,,,,,,,,,,,,
,sp-0023,,independent_coder,,,,,,,,,,,,,
,sp-0024,,independent_coder,,,,,,,,,,,,,
,sp-0025,,independent_coder,,,,,,,,,,,,,
,sp-0026,,independent_coder,,,,,,,,,,,,,
,sp-0027,,independent_coder,,,,,,,,,,,,,
,sp-0028,,independent_coder,,,,,,,,,,,,,
,sp-0029,,independent_coder,,,,,,,,,,,,,
,sp-0030,,independent_coder,,,,,,,,,,,,,
,sp-0031,,independent_coder,,,,,,,,,,,,,
