backlog_id,profile_id,stage_id,workflow,priority,evidence_gap_type,gap_basis,evidence_locator,source_id,next_action,status
eg-fusion-pack-inventory,,all_fusion_profiles,All 18 fusion profiles,package,internal_fusion_test_pack_not_yet_banked,"The PM workbook identifies The Fusion Test evidence pack as an internal input, but its claims have not been mapped to profile rows or banked in the canonical source register.",The Fusion Test — Evidence Pack for Frontier Is Not Fate (research cut-off 2026-08-12),,"Inventory and verify the pack, map claims to profiles, and assign source IDs only in the later source-banking gate.",open
eg-sp-0014-source-id,sp-0014,theory_and_system_design,Theory and system design,routine,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0014-expert,sp-0014,theory_and_system_design,Theory and system design,routine,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0015-source-id,sp-0015,simulation,Simulation,routine,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0015-expert,sp-0015,simulation,Simulation,routine,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0016-source-id,sp-0016,experiment_selection,Experiment selection,priority,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0016-expert,sp-0016,experiment_selection,Experiment selection,priority,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0017-source-id,sp-0017,diagnostics,Diagnostics,routine,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0017-expert,sp-0017,diagnostics,Diagnostics,routine,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0018-source-id,sp-0018,plasma_control,Plasma control,priority,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0018-expert,sp-0018,plasma_control,Plasma control,priority,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0019-source-id,sp-0019,materials_discovery_and_screening,Materials discovery and screening,routine,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0019-expert,sp-0019,materials_discovery_and_screening,Materials discovery and screening,routine,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
