exception_id,profile_id,stage_id,workflow,sector,pathway_id,application_context,lifecycle_phase,s_dimension,dimension_name,zero_endpoint,two_guidance,four_endpoint,comparison_status,numeric_difference,semantic_flags,routing_reason,seed_review_id,seed_coder_name,seed_coder_model,seed_value,seed_rationale,seed_confidence,seed_source_ids,independent_review_id,independent_coder_name,independent_coder_model,independent_reasoning_effort,independent_value,independent_rationale,independent_confidence,independent_source_ids,review_route,owner_disposition,owner_rationale,status
exc-sp-0003-s5,sp-0003,verification_and_validation,Verification and validation,Software engineering,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",development,S5,Intrinsic error tolerance,Errors are catastrophic or irreversible.,"Errors create material cost, delay, or review burdens, but are usually containable and reversible within the stated scope.","Errors are cheap, reversible, and low-externality.",difference_ge_2,2,absolute_difference_ge_2|contradictory_rationales|missing_or_incompatible_source_support,Two-point S5 dispute turns on whether escaped verification errors belong to this stage; the blank source base cannot resolve the convention.,seed-sp-0003-v1,Claude Code,claude-opus-5,4,"S1: reviews, testing, defect reproduction and validation of a change are executed as information work and as software running against software; no physical transformation occurs in the scoped stage; S2: automated suites return in minutes to hours and defect reproduction usually closes within a day, placing the ordinary loop firmly in the minutes-to-days band; S3 cost: an additional test execution or reproduction attempt costs compute time and is near-free at the margin; S3 throughput: intermediate judgment recorded because cost and throughput diverge - automated attempts shard and parallelise almost without limit, but the scoped stage also contains human code review and shared staging or full-system environments, which are scarce serial resources, so attainable throughput is materially below the near-free-and-parallel anchor even though marginal cost is not; S4: no construction, growth, curing, healing or qualification floor governs elapsed time; S5: errors made inside this stage, such as a wrong assertion or a misdiagnosed reproduction, are corrected cheaply and reversibly with no external consequence; escaped-defect consequences belong to the deployment and operations stages and are coded there; scope caveat: frozen V1 scope excludes safety-critical software, where verification would not be low-consequence; critical_path_role remains not_assessed.",high,,independent-sp-0003-v1,Codex,gpt-5.6,extra_high,2,"S1: 4 — reviews, testing, defect reproduction, and validation are predominantly digital information work; S2: 4 — ordinary test-revise cycles run in minutes to days; S3 cost: 4 — most software test executions have low marginal cost; S3 throughput: test suites and defect reproductions can be highly parallelized, despite some shared-environment constraints; S4: 4 — no intrinsic physical time floor dominates pre-release verification; S5: 2 — test mistakes or false negatives can permit defects and cause material review burdens, but reruns and corrections are normally possible; scope caveat: excludes safety-critical assurance and post-release operations.",high,,owner_review,,,pending_owner
exc-sp-0016-s2,sp-0016,experiment_selection,Experiment selection,"Fusion, magnetic confinement",tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,S2,Feedback speed,Cycles take years to decades.,"The ordinary learn-test-revise cycle is generally measured in weeks to months, rather than minutes/days or years/decades.",Learn-test-revise cycles occur in minutes to days.,one_point_difference,1,low_confidence_load_bearing_stage|missing_or_incompatible_source_support|scope_pathway_application_or_lifecycle_ambiguity,Experiment selection excludes physical execution but depends on scarce shots for feedback; one low-confidence coding makes this stage-boundary choice material.,seed-sp-0016-v1,Claude Code,claude-opus-5,1,"S1: selecting, prioritising and sequencing experiments against stated objectives is decision and analysis work; the frozen scope excludes executing experiments, collecting diagnostics and operating plasma controls; S2: intermediate judgment - a proposal or priority list can be revised within days, but the loop that reveals whether a selection was right is a tokamak experimental campaign, and on the small number of pilot-relevant devices the relevant campaigns are separated by many months and sometimes years, which is slower than the weeks-to-months anchor without being decade-scale; S3 cost: cost and throughput diverge sharply - generating and ranking candidate experiment plans is near-free at the margin; S3 throughput: the attempt that actually tests a selection consumes scarce, serially allocated shot time or run days on one of very few devices, so realised throughput is a small number of decision-relevant attempts per year and this is what holds the coding low; S4: intermediate judgment - the selection work carries no construction, growth, curing or qualification floor of its own, but it cannot be realised outside device availability windows set by campaign and shutdown schedules, so it falls short of full physical flexibility; S5: a mis-prioritised campaign consumes scarce device time that cannot be recovered and delays the research programme, which is material and largely unrecoverable cost, but it damages no hardware or people and the plan can be revised for the next campaign; scope caveat: frozen V1 pathway is tokamak research to pilot-plant demonstration; device access assumptions would differ materially for a private single-purpose device versus a shared national facility, which is a country and actor condition and not an intrinsic S judgment; this row is routed to fusion domain review; critical_path_role remains not_assessed.",medium,,independent-sp-0016-v1,Codex,gpt-5.6,extra_high,2,"S1: 4 — selecting, prioritizing, and sequencing experiments is primarily inference and decision work; S2: 2 — useful selection feedback commonly waits weeks to months for scheduled experiments and analysis; S3 cost: 2 — proposing alternatives is cheap, but validating a selection consumes scarce facility shots; S3 throughput: selection analysis can be parallel, while the attainable validated throughput is serially gated by experiment schedules, creating a cost-throughput divergence; S4: 4 — experiment execution is excluded, so no physical process is intrinsic to the selection task itself; S5: 2 — poor selection wastes scarce shots and delays learning but is normally reversible in later scheduling; scope caveat: the score depends on treating physical execution as excluded while feedback still comes from the tokamak campaign.",low,,owner_and_domain_review,,,pending_owner
exc-sp-0016-s3,sp-0016,experiment_selection,Experiment selection,"Fusion, magnetic confinement",tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,S3,Experiment affordability and throughput,Attempts are scarce and expensive.,Attempts require meaningful resources or scarce systems but remain repeatable; throughput or parallelism is material but constrained.,Attempts are near-free and parallel.,one_point_difference,1,low_confidence_load_bearing_stage|missing_or_incompatible_source_support|scope_pathway_application_or_lifecycle_ambiguity,Experiment selection excludes physical execution but depends on scarce shots for feedback; one low-confidence coding makes this stage-boundary choice material.,seed-sp-0016-v1,Claude Code,claude-opus-5,1,"S1: selecting, prioritising and sequencing experiments against stated objectives is decision and analysis work; the frozen scope excludes executing experiments, collecting diagnostics and operating plasma controls; S2: intermediate judgment - a proposal or priority list can be revised within days, but the loop that reveals whether a selection was right is a tokamak experimental campaign, and on the small number of pilot-relevant devices the relevant campaigns are separated by many months and sometimes years, which is slower than the weeks-to-months anchor without being decade-scale; S3 cost: cost and throughput diverge sharply - generating and ranking candidate experiment plans is near-free at the margin; S3 throughput: the attempt that actually tests a selection consumes scarce, serially allocated shot time or run days on one of very few devices, so realised throughput is a small number of decision-relevant attempts per year and this is what holds the coding low; S4: intermediate judgment - the selection work carries no construction, growth, curing or qualification floor of its own, but it cannot be realised outside device availability windows set by campaign and shutdown schedules, so it falls short of full physical flexibility; S5: a mis-prioritised campaign consumes scarce device time that cannot be recovered and delays the research programme, which is material and largely unrecoverable cost, but it damages no hardware or people and the plan can be revised for the next campaign; scope caveat: frozen V1 pathway is tokamak research to pilot-plant demonstration; device access assumptions would differ materially for a private single-purpose device versus a shared national facility, which is a country and actor condition and not an intrinsic S judgment; this row is routed to fusion domain review; critical_path_role remains not_assessed.",medium,,independent-sp-0016-v1,Codex,gpt-5.6,extra_high,2,"S1: 4 — selecting, prioritizing, and sequencing experiments is primarily inference and decision work; S2: 2 — useful selection feedback commonly waits weeks to months for scheduled experiments and analysis; S3 cost: 2 — proposing alternatives is cheap, but validating a selection consumes scarce facility shots; S3 throughput: selection analysis can be parallel, while the attainable validated throughput is serially gated by experiment schedules, creating a cost-throughput divergence; S4: 4 — experiment execution is excluded, so no physical process is intrinsic to the selection task itself; S5: 2 — poor selection wastes scarce shots and delays learning but is normally reversible in later scheduling; scope caveat: the score depends on treating physical execution as excluded while feedback still comes from the tokamak campaign.",low,,owner_and_domain_review,,,pending_owner
exc-sp-0016-s4,sp-0016,experiment_selection,Experiment selection,"Fusion, magnetic confinement",tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,S4,Physical flexibility,Clock time is dominated by physical floors.,"Physical processes create meaningful delay, but no single physical, biological, construction, curing, healing, or qualification floor dominates the entire scoped stage.","No construction, growth, curing, healing, or qualification floor dominates elapsed time.",one_point_difference,1,low_confidence_load_bearing_stage|missing_or_incompatible_source_support|scope_pathway_application_or_lifecycle_ambiguity,Experiment selection excludes physical execution but depends on scarce shots for feedback; one low-confidence coding makes this stage-boundary choice material.,seed-sp-0016-v1,Claude Code,claude-opus-5,3,"S1: selecting, prioritising and sequencing experiments against stated objectives is decision and analysis work; the frozen scope excludes executing experiments, collecting diagnostics and operating plasma controls; S2: intermediate judgment - a proposal or priority list can be revised within days, but the loop that reveals whether a selection was right is a tokamak experimental campaign, and on the small number of pilot-relevant devices the relevant campaigns are separated by many months and sometimes years, which is slower than the weeks-to-months anchor without being decade-scale; S3 cost: cost and throughput diverge sharply - generating and ranking candidate experiment plans is near-free at the margin; S3 throughput: the attempt that actually tests a selection consumes scarce, serially allocated shot time or run days on one of very few devices, so realised throughput is a small number of decision-relevant attempts per year and this is what holds the coding low; S4: intermediate judgment - the selection work carries no construction, growth, curing or qualification floor of its own, but it cannot be realised outside device availability windows set by campaign and shutdown schedules, so it falls short of full physical flexibility; S5: a mis-prioritised campaign consumes scarce device time that cannot be recovered and delays the research programme, which is material and largely unrecoverable cost, but it damages no hardware or people and the plan can be revised for the next campaign; scope caveat: frozen V1 pathway is tokamak research to pilot-plant demonstration; device access assumptions would differ materially for a private single-purpose device versus a shared national facility, which is a country and actor condition and not an intrinsic S judgment; this row is routed to fusion domain review; critical_path_role remains not_assessed.",medium,,independent-sp-0016-v1,Codex,gpt-5.6,extra_high,4,"S1: 4 — selecting, prioritizing, and sequencing experiments is primarily inference and decision work; S2: 2 — useful selection feedback commonly waits weeks to months for scheduled experiments and analysis; S3 cost: 2 — proposing alternatives is cheap, but validating a selection consumes scarce facility shots; S3 throughput: selection analysis can be parallel, while the attainable validated throughput is serially gated by experiment schedules, creating a cost-throughput divergence; S4: 4 — experiment execution is excluded, so no physical process is intrinsic to the selection task itself; S5: 2 — poor selection wastes scarce shots and delays learning but is normally reversible in later scheduling; scope caveat: the score depends on treating physical execution as excluded while feedback still comes from the tokamak campaign.",low,,owner_and_domain_review,,,pending_owner
exc-sp-0018-s1,sp-0018,plasma_control,Plasma control,"Fusion, magnetic confinement",tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,S1,Information intensity of the scoped stage,"Progress occurs primarily through physical transformation, biological processes, construction, or accumulated operating time.","Stage progress materially combines informational and physical, biological, or operational work; neither clearly dominates under the stated scope.","Progress occurs primarily through information processing, analysis, design, inference, communication, or software.",one_point_difference,1,low_confidence_load_bearing_stage|missing_or_incompatible_source_support|scope_pathway_application_or_lifecycle_ambiguity,Plasma control combines digital development with live physical actuation; one low-confidence coding makes the digital/live weighting owner-relevant.,seed-sp-0018-v1,Claude Code,claude-opus-5,3,"S1: intermediate judgment - control-law development, simulator-based tuning and real-time algorithm work are predominantly informational, but the frozen scope includes testing and operation on a physical plasma whose behaviour is not fully captured by models, so the stage is more informational than balanced without reaching the fully informational anchor; S2: the loop is bimodal - simulator iteration runs in hours and shot-to-shot tuning within a run day returns in tens of minutes, but validated control performance depends on campaign access on scarce devices measured in months, and the rubric directs use of the ordinary scoped loop rather than the best case, so the coding sits at the weeks-to-months anchor; S3 cost: cost and throughput diverge - simulator-based control attempts are cheap and parallel at the margin; S3 throughput: each validating attempt consumes a scarce, serially scheduled plasma discharge on one of a small number of devices, with a few tens of shots available per run day and run days separated by long intervals, so decision-relevant throughput is very low; S4: no construction, curing or qualification floor governs the stage, but pulse-repetition limits, machine conditioning between shots and between-campaign shutdowns impose meaningful unavoidable delay; S5: intermediate judgment - an ordinary control error terminates a discharge at the cost of one shot, but the characteristic failure mode on a high-current device is a disruption, which can damage plasma-facing components and impose electromagnetic loads on the machine, so errors are materially worse than containable without being catastrophic in the external-safety sense; scope caveat: frozen V1 pathway is tokamak research to pilot-plant demonstration; disruption consequences scale strongly with device current and stored energy, so a compact high-field variant may warrant a distinct profile; this row is routed to fusion domain review; critical_path_role remains not_assessed.",medium,,independent-sp-0018-v1,Codex,gpt-5.6,extra_high,2,"S1: 2 — plasma control combines software, inference, and control design with live physical actuation on plasma; S2: 3 — Intermediate judgment: control feedback itself is sub-second and simulation iterates quickly, but learning across physical shot campaigns is slower; S3 cost: 1 — Intermediate judgment: simulated trials are affordable, while live control attempts use scarce, expensive tokamak shots; S3 throughput: simulation parallelizes, but facility access makes decisive live testing largely serial; S4: 2 — facility cadence and physical plasma operation impose meaningful delay without dominating all development work; S5: 1 — Intermediate judgment: errors may terminate shots or threaten equipment, though protection systems can often contain damage; scope caveat: combines development, testing, and operation, so the digital/live weighting is pathway-sensitive.",low,,owner_and_domain_review,,,pending_owner
exc-sp-0018-s2,sp-0018,plasma_control,Plasma control,"Fusion, magnetic confinement",tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,S2,Feedback speed,Cycles take years to decades.,"The ordinary learn-test-revise cycle is generally measured in weeks to months, rather than minutes/days or years/decades.",Learn-test-revise cycles occur in minutes to days.,one_point_difference,1,low_confidence_load_bearing_stage|missing_or_incompatible_source_support|scope_pathway_application_or_lifecycle_ambiguity,Plasma control combines digital development with live physical actuation; one low-confidence coding makes the digital/live weighting owner-relevant.,seed-sp-0018-v1,Claude Code,claude-opus-5,2,"S1: intermediate judgment - control-law development, simulator-based tuning and real-time algorithm work are predominantly informational, but the frozen scope includes testing and operation on a physical plasma whose behaviour is not fully captured by models, so the stage is more informational than balanced without reaching the fully informational anchor; S2: the loop is bimodal - simulator iteration runs in hours and shot-to-shot tuning within a run day returns in tens of minutes, but validated control performance depends on campaign access on scarce devices measured in months, and the rubric directs use of the ordinary scoped loop rather than the best case, so the coding sits at the weeks-to-months anchor; S3 cost: cost and throughput diverge - simulator-based control attempts are cheap and parallel at the margin; S3 throughput: each validating attempt consumes a scarce, serially scheduled plasma discharge on one of a small number of devices, with a few tens of shots available per run day and run days separated by long intervals, so decision-relevant throughput is very low; S4: no construction, curing or qualification floor governs the stage, but pulse-repetition limits, machine conditioning between shots and between-campaign shutdowns impose meaningful unavoidable delay; S5: intermediate judgment - an ordinary control error terminates a discharge at the cost of one shot, but the characteristic failure mode on a high-current device is a disruption, which can damage plasma-facing components and impose electromagnetic loads on the machine, so errors are materially worse than containable without being catastrophic in the external-safety sense; scope caveat: frozen V1 pathway is tokamak research to pilot-plant demonstration; disruption consequences scale strongly with device current and stored energy, so a compact high-field variant may warrant a distinct profile; this row is routed to fusion domain review; critical_path_role remains not_assessed.",medium,,independent-sp-0018-v1,Codex,gpt-5.6,extra_high,3,"S1: 2 — plasma control combines software, inference, and control design with live physical actuation on plasma; S2: 3 — Intermediate judgment: control feedback itself is sub-second and simulation iterates quickly, but learning across physical shot campaigns is slower; S3 cost: 1 — Intermediate judgment: simulated trials are affordable, while live control attempts use scarce, expensive tokamak shots; S3 throughput: simulation parallelizes, but facility access makes decisive live testing largely serial; S4: 2 — facility cadence and physical plasma operation impose meaningful delay without dominating all development work; S5: 1 — Intermediate judgment: errors may terminate shots or threaten equipment, though protection systems can often contain damage; scope caveat: combines development, testing, and operation, so the digital/live weighting is pathway-sensitive.",low,,owner_and_domain_review,,,pending_owner
exc-sp-0020-s2,sp-0020,materials_qualification,Materials qualification,"Fusion, magnetic confinement",tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",qualification,S2,Feedback speed,Cycles take years to decades.,"The ordinary learn-test-revise cycle is generally measured in weeks to months, rather than minutes/days or years/decades.",Learn-test-revise cycles occur in minutes to days.,exact_agreement,0,missing_or_incompatible_source_support,"Both coders assign the load-bearing zero values, but the conclusion depends on an uncited qualification-scale facility and exposure-time premise.",seed-sp-0020-v1,Claude Code,claude-opus-5,0,"S1: intermediate judgment - test design, data analysis and surrogate modelling carry real and growing weight, which keeps this above the fully physical anchor, but qualification progress is established by physically exposing specimens to representative loads and environments and cannot be produced by analysis alone; S2: the ordinary loop is years to decades - irradiation campaigns accumulate damage over years, post-irradiation examination follows, and no fusion-spectrum neutron source operates at qualification scale, so the loop that would settle fusion-relevant material behaviour does not yet close at all; S3 cost: cost and throughput diverge - inside a campaign the marginal cost of an additional small specimen is modest and many specimens are irradiated together, which is why small-specimen test technology exists; S3 throughput: campaign opportunities themselves are scarce, expensive and years long in a handful of facilities, so realised decision-relevant throughput is very low and this is what holds the coding at the low end despite per-specimen parallelism; S4: clock time is dominated by physical floors - displacement damage accumulates at a fixed rate that no amount of information can compress, and post-irradiation examination additionally requires cooling and hot-cell access; S5: intermediate judgment - an individual failed test is informative rather than harmful, but an error that spoils a specimen matrix forfeits years of irradiation time that cannot be recovered, and an unsound qualification conclusion propagates into build and licensing commitments; scope caveat: frozen V1 scope is qualification against pilot-relevant loads and environments and excludes discovery, fabrication and commercial-fleet qualification; the absence of a fusion-spectrum irradiation facility is a stated structural condition of this coding and would change materially if such a facility entered service, which is an explicit revisit trigger for later review; this row is routed to fusion domain review; critical_path_role remains not_assessed.",high,,independent-sp-0020-v1,Codex,gpt-5.6,extra_high,0,"S1: 0 — progress is established primarily through physical exposure, testing, and accumulated operating evidence; S2: 0 — pilot-relevant qualification cycles can extend from years toward decades; S3 cost: 0 — representative material tests require scarce, expensive facilities and specimens; S3 throughput: attainable attempts are limited and often serial because relevant environments and long exposures cannot be freely replicated; S4: 0 — qualification and accumulated exposure floors dominate elapsed time; S5: 0 — qualification errors can admit unsafe or unreliable materials with severe and potentially irreversible downstream consequences; scope caveat: pilot-relevant qualification only, not initial screening or commercial-fleet qualification.",medium,,owner_and_domain_review,,,pending_owner
exc-sp-0020-s4,sp-0020,materials_qualification,Materials qualification,"Fusion, magnetic confinement",tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",qualification,S4,Physical flexibility,Clock time is dominated by physical floors.,"Physical processes create meaningful delay, but no single physical, biological, construction, curing, healing, or qualification floor dominates the entire scoped stage.","No construction, growth, curing, healing, or qualification floor dominates elapsed time.",exact_agreement,0,missing_or_incompatible_source_support,"Both coders assign the load-bearing zero values, but the conclusion depends on an uncited qualification-scale facility and exposure-time premise.",seed-sp-0020-v1,Claude Code,claude-opus-5,0,"S1: intermediate judgment - test design, data analysis and surrogate modelling carry real and growing weight, which keeps this above the fully physical anchor, but qualification progress is established by physically exposing specimens to representative loads and environments and cannot be produced by analysis alone; S2: the ordinary loop is years to decades - irradiation campaigns accumulate damage over years, post-irradiation examination follows, and no fusion-spectrum neutron source operates at qualification scale, so the loop that would settle fusion-relevant material behaviour does not yet close at all; S3 cost: cost and throughput diverge - inside a campaign the marginal cost of an additional small specimen is modest and many specimens are irradiated together, which is why small-specimen test technology exists; S3 throughput: campaign opportunities themselves are scarce, expensive and years long in a handful of facilities, so realised decision-relevant throughput is very low and this is what holds the coding at the low end despite per-specimen parallelism; S4: clock time is dominated by physical floors - displacement damage accumulates at a fixed rate that no amount of information can compress, and post-irradiation examination additionally requires cooling and hot-cell access; S5: intermediate judgment - an individual failed test is informative rather than harmful, but an error that spoils a specimen matrix forfeits years of irradiation time that cannot be recovered, and an unsound qualification conclusion propagates into build and licensing commitments; scope caveat: frozen V1 scope is qualification against pilot-relevant loads and environments and excludes discovery, fabrication and commercial-fleet qualification; the absence of a fusion-spectrum irradiation facility is a stated structural condition of this coding and would change materially if such a facility entered service, which is an explicit revisit trigger for later review; this row is routed to fusion domain review; critical_path_role remains not_assessed.",high,,independent-sp-0020-v1,Codex,gpt-5.6,extra_high,0,"S1: 0 — progress is established primarily through physical exposure, testing, and accumulated operating evidence; S2: 0 — pilot-relevant qualification cycles can extend from years toward decades; S3 cost: 0 — representative material tests require scarce, expensive facilities and specimens; S3 throughput: attainable attempts are limited and often serial because relevant environments and long exposures cannot be freely replicated; S4: 0 — qualification and accumulated exposure floors dominate elapsed time; S5: 0 — qualification errors can admit unsafe or unreliable materials with severe and potentially irreversible downstream consequences; scope caveat: pilot-relevant qualification only, not initial screening or commercial-fleet qualification.",medium,,owner_and_domain_review,,,pending_owner
exc-sp-0024-s3,sp-0024,tritium_and_fuel_cycle,Tritium and fuel cycle,"Fusion, magnetic confinement",tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,S3,Experiment affordability and throughput,Attempts are scarce and expensive.,Attempts require meaningful resources or scarce systems but remain repeatable; throughput or parallelism is material but constrained.,Attempts are near-free and parallel.,one_point_difference,1,low_confidence_load_bearing_stage|missing_or_incompatible_source_support,"Both coders report low confidence for scarce tritium-capable attempts and severe containment or inventory consequences, with no resolving source support.",seed-sp-0024-v1,Claude Code,claude-opus-5,1,"S1: intermediate judgment - process design, inventory modelling and permeation analysis are real informational contributors, which keeps this above the fully physical anchor, but progress is set by physical processing experiments in a very small number of licensed facilities and the design cannot be closed without empirical data that does not exist at pilot scale; S2: intermediate judgment - surrogate hydrogen and deuterium loops iterate in weeks to months, but tritium-relevant results require licensed-facility campaigns with their own authorisation cycles measured in many months to years, which is slower than the weeks-to-months anchor without being decade-scale; S3 cost: cost and throughput diverge - surrogate loops are inexpensive and repeatable, while any attempt using tritium depends on a scarce and costly inventory and on facilities that are few worldwide; S3 throughput: surrogate attempts parallelise, but decision-relevant tritium attempts are limited by inventory, licensed floor space and authorisation, so realised throughput is very low and this holds the coding at the low end; S4: intermediate judgment - the design work carries no construction or curing floor of its own, but tritium inventory build-up, permeation and retention equilibration times, and licensed-facility access windows impose hard minimum durations on every decision-relevant experiment; S5: intermediate judgment - routine design and surrogate errors are recoverable, but errors involving tritium produce irreversible release of a regulated radionuclide with contamination, reporting and licence consequences that extend beyond the operator, placing the stage well below the containable-error anchor; scope caveat: frozen V1 scope is pilot-relevant design, engineering, testing and pre-integration and excludes fabrication after design maturity, construction, commissioning and fleet rollout; confidence is low because pilot-scale fuel-cycle performance is not demonstrated anywhere and the coding rests on inference from smaller-scale practice; this row is routed to fusion domain review as a priority case; critical_path_role remains not_assessed.",low,,independent-sp-0024-v1,Codex,gpt-5.6,extra_high,0,"S1: 1 — Intermediate judgment: system design and inventory modelling matter, but physical tritium handling, processing, containment, and accountancy dominate progress; S2: 1 — Intermediate judgment: representative subsystem iterations commonly take months to years; S3 cost: 0 — tritium-capable attempts require scarce, tightly controlled, expensive facilities and material inventories; S3 throughput: radiological controls and limited infrastructure make testing highly constrained and often serial; S4: 1 — Intermediate judgment: material handling, conditioning, and integration floors dominate much of elapsed time but not every design task; S5: 0 — containment or inventory errors can create severe radiological, safety, and regulatory consequences; scope caveat: pilot-relevant pre-integration development only, not routine commercial operation.",low,,owner_and_domain_review,,,pending_owner
exc-sp-0024-s5,sp-0024,tritium_and_fuel_cycle,Tritium and fuel cycle,"Fusion, magnetic confinement",tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,S5,Intrinsic error tolerance,Errors are catastrophic or irreversible.,"Errors create material cost, delay, or review burdens, but are usually containable and reversible within the stated scope.","Errors are cheap, reversible, and low-externality.",one_point_difference,1,low_confidence_load_bearing_stage|missing_or_incompatible_source_support,"Both coders report low confidence for scarce tritium-capable attempts and severe containment or inventory consequences, with no resolving source support.",seed-sp-0024-v1,Claude Code,claude-opus-5,1,"S1: intermediate judgment - process design, inventory modelling and permeation analysis are real informational contributors, which keeps this above the fully physical anchor, but progress is set by physical processing experiments in a very small number of licensed facilities and the design cannot be closed without empirical data that does not exist at pilot scale; S2: intermediate judgment - surrogate hydrogen and deuterium loops iterate in weeks to months, but tritium-relevant results require licensed-facility campaigns with their own authorisation cycles measured in many months to years, which is slower than the weeks-to-months anchor without being decade-scale; S3 cost: cost and throughput diverge - surrogate loops are inexpensive and repeatable, while any attempt using tritium depends on a scarce and costly inventory and on facilities that are few worldwide; S3 throughput: surrogate attempts parallelise, but decision-relevant tritium attempts are limited by inventory, licensed floor space and authorisation, so realised throughput is very low and this holds the coding at the low end; S4: intermediate judgment - the design work carries no construction or curing floor of its own, but tritium inventory build-up, permeation and retention equilibration times, and licensed-facility access windows impose hard minimum durations on every decision-relevant experiment; S5: intermediate judgment - routine design and surrogate errors are recoverable, but errors involving tritium produce irreversible release of a regulated radionuclide with contamination, reporting and licence consequences that extend beyond the operator, placing the stage well below the containable-error anchor; scope caveat: frozen V1 scope is pilot-relevant design, engineering, testing and pre-integration and excludes fabrication after design maturity, construction, commissioning and fleet rollout; confidence is low because pilot-scale fuel-cycle performance is not demonstrated anywhere and the coding rests on inference from smaller-scale practice; this row is routed to fusion domain review as a priority case; critical_path_role remains not_assessed.",low,,independent-sp-0024-v1,Codex,gpt-5.6,extra_high,0,"S1: 1 — Intermediate judgment: system design and inventory modelling matter, but physical tritium handling, processing, containment, and accountancy dominate progress; S2: 1 — Intermediate judgment: representative subsystem iterations commonly take months to years; S3 cost: 0 — tritium-capable attempts require scarce, tightly controlled, expensive facilities and material inventories; S3 throughput: radiological controls and limited infrastructure make testing highly constrained and often serial; S4: 1 — Intermediate judgment: material handling, conditioning, and integration floors dominate much of elapsed time but not every design task; S5: 0 — containment or inventory errors can create severe radiological, safety, and regulatory consequences; scope caveat: pilot-relevant pre-integration development only, not routine commercial operation.",low,,owner_and_domain_review,,,pending_owner
