profile_id,stage_id,parent_stage_id,sector,workflow,pathway_id,application_context,lifecycle_phase,critical_path_role,S1,S2,S3,S4,S5,rationale,source_ids,coding_confidence,disagreement_summary,selected_review_ids,evidence_basis,coding_as_of,last_reviewed,revisit_triggers,proposed_by,proposed_model,reviewed_by,independent_review_by,approved_by,coding_status,review_status,version,changelog_note
prf-000001,requirements_and_architecture,not_applicable,Software and AI R&D,,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000002,implementation,not_applicable,Software and AI R&D,,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000003,verification_and_validation,not_applicable,Software and AI R&D,,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000004,deployment,not_applicable,Software and AI R&D,,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000005,operations_and_maintenance,not_applicable,Software and AI R&D,,mature_software_delivery_and_maintenance,"Mature production-software feature development, debugging, testing, integration, deployment, operations, and maintenance in an established codebase",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000006,product_design,not_applicable,"Manufacturing, discrete",,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000007,process_engineering,not_applicable,"Manufacturing, discrete",,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000008,supply_and_tooling,not_applicable,"Manufacturing, discrete",,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000009,retooling_and_commissioning,not_applicable,"Manufacturing, discrete",,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000010,production_planning_and_scheduling,not_applicable,"Manufacturing, discrete",,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000011,production_and_process_control,not_applicable,"Manufacturing, discrete",,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000012,quality_assurance,not_applicable,"Manufacturing, discrete",,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000013,maintenance_and_continuous_improvement,not_applicable,"Manufacturing, discrete",,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000014,theory_and_system_design,concept_and_design,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000015,simulation,digital_experiment_loop,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000016,experiment_selection,digital_experiment_loop,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000017,diagnostics,plasma_operations,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000018,plasma_control,plasma_operations,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000019,materials_discovery_and_screening,materials,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000020,materials_qualification,materials,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000021,magnets,plant_subsystems,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
