source_id,title_original,title_english,authors_org,year,language,source_type,url_or_doi,reliability_tier,geo_scope,sector_scope,key_claims,useful_indicators,limitations,date_added,added_by,review_status,placeholder,notes
src-v0-dr-001,Stanford AI Index / Global AI Vibrancy Tool,Stanford AI Index / Global AI Vibrancy Tool,Stanford HAI,2025-2026,English,academic_index,missing,A,global,cross-cutting,Measures AI models research patents talent investment and public opinion; useful for frontier access but not conversion outcomes,notable models; AI patents; AI investment; public opinion,Version and methodology changes require careful year handling,2026-06-26,Codex,staged,false,Independent academic index; empirical indicators; verify original URLs before canonical merge
src-v0-dr-002,AI Preparedness Index,AI Preparedness Index,International Monetary Fund,2024-2025,English,intergovernmental_index,missing,A,global,cross-cutting,Measures structural preparedness for AI adoption across digital infrastructure human capital innovation and regulation,digital infrastructure; STEM skills; labor policy; legal adaptability,Preparedness not realized AI deployment or outcomes,2026-06-26,Codex,staged,false,Official intergovernmental index; empirical and composite inputs
src-v0-dr-003,Government AI Readiness Index 2025,Government AI Readiness Index 2025,Oxford Insights,2025,English,think_tank_index,missing,B,global,public-sector,Measures government capacity to harness AI for public benefit with policy infrastructure adoption diffusion and resilience pillars,public sector adoption; policy capacity; governance; resilience,Readiness proxy with imputation; not direct outcome conversion,2026-06-26,Codex,staged,false,Independent index; methodology choices require review
src-v0-dr-004,Global AI Index,Global AI Index,Tortoise Media,2025,English,private_index,missing,C,global,cross-cutting,Measures national AI capacity through implementation innovation and investment,talent; infrastructure; research; development; commercial ecosystem,Capacity index with judgmental weights and scale bias,2026-06-26,Codex,staged,false,Private index; useful comparator not conversion outcome
src-v0-dr-005,AGILE AI Governance International Evaluation Index,AGILE AI Governance International Evaluation Index,AGILE,2025,English,governance_index,missing,B,global,governance,Measures national AI governance maturity and risk exposure,governance dimensions; policy documents; risk exposure,Full methodology not fully parsed in reports,2026-06-26,Codex,staged,false,Governance comparator; not conversion outcome
src-v0-dr-006,Global Innovation Index 2025,Global Innovation Index 2025,WIPO,2025,English; Spanish,intergovernmental_index,missing,A,global,innovation,Measures national innovation inputs and outputs,R&D intensity; innovation outputs; business sophistication,Not AI-specific and not conversion-specific,2026-06-26,Codex,staged,false,Official intergovernmental index; empirical/composite
src-v0-dr-007,ICT Development Index 2025,ICT Development Index 2025,International Telecommunication Union,2025,English; Arabic,intergovernmental_index,missing,A,global,digital-infrastructure,Measures universal and meaningful connectivity,connectivity coverage; affordability; usage,Foundational digital input only; no AI-specific outcomes,2026-06-26,Codex,staged,false,Official intergovernmental index
src-v0-dr-008,GovTech Maturity Index 2025,GovTech Maturity Index 2025,World Bank,2025,English,intergovernmental_index,missing,A,global,public-sector,Measures public-sector digital transformation maturity,core systems; online services; digital citizen engagement; enablers,GovTech maturity is not AI conversion or public-service ROI,2026-06-26,Codex,staged,false,Official intergovernmental index
src-v0-dr-009,OECD.AI Index,OECD.AI Index,OECD,2026,English,intergovernmental_index,missing,A,OECD,cross-cutting,Measures implementation of OECD AI Recommendation and AI ecosystem policy,R&D; enabling infrastructure; policy environment; jobs and skills,OECD-limited and stronger on policy than outcomes,2026-06-26,Codex,staged,false,Official intergovernmental index
src-v0-dr-010,Competitive Industrial Performance tools,Competitive Industrial Performance tools,UNIDO,2025,English,intergovernmental_dataset,missing,A,global,manufacturing-robotics,Measures industrial competitiveness and manufacturing performance,manufacturing value added; industrial competitiveness; trade structure,Not AI-specific and attribution is indirect,2026-06-26,Codex,staged,false,Official industrial dataset/composite
src-v0-dr-011,Digital Economy and Society Index / Digital Decade,Digital Economy and Society Index / Digital Decade,European Commission,2025,English; Spanish,official_index,missing,A,EU,digital-infrastructure,Measures EU digital foundations enterprise use skills connectivity and public services,enterprise digitalization; connectivity; public services,Regional framework and not AI conversion-specific,2026-06-26,Codex,staged,false,Official EU source
src-v0-dr-012,Eurostat ICT usage and e-commerce in enterprises,Eurostat enterprise AI and ICT use tables,Eurostat,2023-2026,English,official_dataset,missing,A,EU,enterprise-diffusion,Provides enterprise AI use by technology sector and firm size,share of enterprises using AI; firm-size adoption gap; sector adoption,Definitions vary over time and are EU-focused,2026-06-26,Codex,staged,false,Official statistical dataset; empirical
src-v0-dr-013,Business Trends and Outlook Survey,Business Trends and Outlook Survey,U.S. Census Bureau,2025-2026,English,official_dataset,missing,A,United States,enterprise-diffusion,Provides near-real-time U.S. business AI adoption and expected adoption,firm AI adoption; expected AI use; sector and size breakouts,Survey instrument revisions affect trend continuity,2026-06-26,Codex,staged,false,Official statistical dataset; empirical
src-v0-dr-014,Nutzung von Künstlicher Intelligenz in Unternehmen,Use of AI in Enterprises,Destatis,2025,German,official_dataset,missing,A,Germany,enterprise-diffusion,Reports AI use in German firms by firm size,enterprise AI adoption; SME-large firm gap,Germany-only and survey definitions need review,2026-06-26,Codex,staged,false,Official statistical source; empirical
src-v0-dr-015,Singapore Digital Economy Report,Singapore Digital Economy Report,IMDA Singapore,2024-2025,English,official_report,missing,A,Singapore,enterprise-diffusion,Tracks digital economy adoption workforce and enterprise AI use,SME AI adoption; non-SME AI adoption; digital-skill programs,Small-country structure limits comparability,2026-06-26,Codex,staged,false,Official government source; empirical and official claims
src-v0-dr-016,Korean enterprise informatization and AI adoption statistics,Korean enterprise informatization and AI adoption statistics,MSIT; KOSTAT; NIA,2024-2026,Korean,official_dataset,missing,A,South Korea,enterprise-diffusion,Tracks firm digitalization and AI or fourth-industrial-technology use,enterprise AI adoption; cloud big-data IoT adoption; SME usage,Definitions and public availability require review,2026-06-26,Codex,staged,false,Official Korean statistical and policy sources
