claim_id,profile_id,stage_id,s_dimension,claim_text,claim_type,evidence_basis,pack_source_ids,candidate_source_ids,support_direction,directness,scope_match,pathway_match,lifecycle_match,quantitative_value,unit,denominator,time_period,source_locator,counterevidence_or_confounder,verification_status,review_route,notes
fusion-clm-001,sp-0014,theory_and_system_design,S1,The verified source set informs information intensity for Theory and system design only by bounded analogy or adjacent-stage evidence.,inference,inference,S-US-STELLAR;S-US-STELLFOUNDRY;S-US-DOE-ROAD;S-US-DCP,fusion-src-024;fusion-src-025;fusion-src-028,supports_with_limits,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-002,sp-0014,theory_and_system_design,S2,The verified source set informs feedback speed for Theory and system design only by bounded analogy or adjacent-stage evidence.,inference,inference,S-US-STELLAR;S-US-STELLFOUNDRY;S-US-DOE-ROAD;S-US-DCP,fusion-src-024;fusion-src-025;fusion-src-028,supports_with_limits,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-003,sp-0014,theory_and_system_design,S3,The verified source set informs experiment affordability and throughput for Theory and system design only by bounded analogy or adjacent-stage evidence.,inference,inference,S-US-STELLAR;S-US-STELLFOUNDRY;S-US-DOE-ROAD;S-US-DCP,fusion-src-024;fusion-src-025;fusion-src-028,supports_with_limits,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-004,sp-0014,theory_and_system_design,S4,The verified source set complicates any simple claim about physical flexibility or elapsed-time floors for Theory and system design; physical scope and lifecycle distinctions remain load-bearing.,inference,inference,S-US-STELLAR;S-US-STELLFOUNDRY;S-US-DOE-ROAD;S-US-DCP,fusion-src-024;fusion-src-025;fusion-src-028,complicates,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-005,sp-0014,theory_and_system_design,S5,A bounded first-pass search located no suitable source directly supporting a claim about intrinsic error tolerance for Theory and system design; this is not evidence of absence.,commentary,commentary,missing,missing,unresolved,none,not_assessable,frozen_tokamak_pathway,not_assessable,missing,missing,missing,through_2026-08-31,missing,No evidence located is not evidence of absence.,unresolved_bounded_search,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-006,sp-0015,simulation,S1,The verified source set directly informs information intensity for Simulation within the frozen research-to-pilot pathway.,observed experimental result,observed experimental result,S-CN-HL3-AI;S-AI-TCV;unassigned_pack_table;S-US-STELLAR,fusion-src-007;fusion-src-017;fusion-src-022;fusion-src-023;fusion-src-024,supports,direct,exact_stage,frozen_tokamak_pathway,matched,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-007,sp-0015,simulation,S2,The verified source set informs feedback speed for Simulation only by bounded analogy or adjacent-stage evidence.,inference,inference,S-CN-HL3-AI;S-AI-TCV;unassigned_pack_table;S-US-STELLAR,fusion-src-007;fusion-src-017;fusion-src-022;fusion-src-023;fusion-src-024,supports_with_limits,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-008,sp-0015,simulation,S3,The verified source set informs experiment affordability and throughput for Simulation only by bounded analogy or adjacent-stage evidence.,inference,inference,S-CN-HL3-AI;S-AI-TCV;unassigned_pack_table;S-US-STELLAR,fusion-src-007;fusion-src-017;fusion-src-022;fusion-src-023;fusion-src-024,supports_with_limits,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-009,sp-0015,simulation,S4,The verified source set complicates any simple claim about physical flexibility or elapsed-time floors for Simulation; physical scope and lifecycle distinctions remain load-bearing.,inference,inference,S-CN-HL3-AI;S-AI-TCV;unassigned_pack_table;S-US-STELLAR,fusion-src-007;fusion-src-017;fusion-src-022;fusion-src-023;fusion-src-024,complicates,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-010,sp-0015,simulation,S5,A bounded first-pass search located no suitable source directly supporting a claim about intrinsic error tolerance for Simulation; this is not evidence of absence.,commentary,commentary,missing,missing,unresolved,none,not_assessable,frozen_tokamak_pathway,not_assessable,missing,missing,missing,through_2026-08-31,missing,No evidence located is not evidence of absence.,unresolved_bounded_search,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-011,sp-0016,experiment_selection,S1,The verified source set informs information intensity for Experiment selection only by bounded analogy or adjacent-stage evidence.,inference,inference,S-AI-DIII-D;S-AI-KSTAR-D3D;S-US-STELLAR;S-US-STELLFOUNDRY,fusion-src-018;fusion-src-019;fusion-src-024;fusion-src-025,supports_with_limits,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-012,sp-0016,experiment_selection,S2,The verified source set informs feedback speed for Experiment selection only by bounded analogy or adjacent-stage evidence.,inference,inference,S-AI-DIII-D;S-AI-KSTAR-D3D;S-US-STELLAR;S-US-STELLFOUNDRY,fusion-src-018;fusion-src-019;fusion-src-024;fusion-src-025,supports_with_limits,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-013,sp-0016,experiment_selection,S3,The verified source set informs experiment affordability and throughput for Experiment selection only by bounded analogy or adjacent-stage evidence.,inference,inference,S-AI-DIII-D;S-AI-KSTAR-D3D;S-US-STELLAR;S-US-STELLFOUNDRY,fusion-src-018;fusion-src-019;fusion-src-024;fusion-src-025,supports_with_limits,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-014,sp-0016,experiment_selection,S4,A bounded first-pass search located no suitable source directly supporting a claim about physical flexibility or elapsed-time floors for Experiment selection; this is not evidence of absence.,commentary,commentary,missing,missing,unresolved,none,not_assessable,frozen_tokamak_pathway,not_assessable,missing,missing,missing,through_2026-08-31,missing,No evidence located is not evidence of absence.,unresolved_bounded_search,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-015,sp-0016,experiment_selection,S5,A bounded first-pass search located no suitable source directly supporting a claim about intrinsic error tolerance for Experiment selection; this is not evidence of absence.,commentary,commentary,missing,missing,unresolved,none,not_assessable,frozen_tokamak_pathway,not_assessable,missing,missing,missing,through_2026-08-31,missing,No evidence located is not evidence of absence.,unresolved_bounded_search,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-016,sp-0017,diagnostics,S1,The verified source set directly informs information intensity for Diagnostics within the frozen research-to-pilot pathway.,proof of concept,proof of concept,S-CN-EAST-AI;S-AI-TRANSFER;S-AI-DIAG;unassigned_pack_table,fusion-src-008;fusion-src-009;fusion-src-020;fusion-src-021;fusion-src-022,supports,direct,exact_stage,frozen_tokamak_pathway,matched,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-017,sp-0017,diagnostics,S2,The verified source set directly informs feedback speed for Diagnostics within the frozen research-to-pilot pathway.,proof of concept,proof of concept,S-CN-EAST-AI;S-AI-TRANSFER;S-AI-DIAG;unassigned_pack_table,fusion-src-008;fusion-src-009;fusion-src-020;fusion-src-021;fusion-src-022,supports,direct,exact_stage,frozen_tokamak_pathway,matched,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-018,sp-0017,diagnostics,S3,The verified source set informs experiment affordability and throughput for Diagnostics only by bounded analogy or adjacent-stage evidence.,inference,inference,S-CN-EAST-AI;S-AI-TRANSFER;S-AI-DIAG;unassigned_pack_table,fusion-src-008;fusion-src-009;fusion-src-020;fusion-src-021;fusion-src-022,supports_with_limits,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-019,sp-0017,diagnostics,S4,A bounded first-pass search located no suitable source directly supporting a claim about physical flexibility or elapsed-time floors for Diagnostics; this is not evidence of absence.,commentary,commentary,missing,missing,unresolved,none,not_assessable,frozen_tokamak_pathway,not_assessable,missing,missing,missing,through_2026-08-31,missing,No evidence located is not evidence of absence.,unresolved_bounded_search,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-020,sp-0017,diagnostics,S5,The verified source set complicates any simple claim about intrinsic error tolerance for Diagnostics; physical scope and lifecycle distinctions remain load-bearing.,inference,inference,S-CN-EAST-AI;S-AI-TRANSFER;S-AI-DIAG;unassigned_pack_table,fusion-src-008;fusion-src-009;fusion-src-020;fusion-src-021;fusion-src-022,complicates,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-021,sp-0018,plasma_control,S1,The verified source set directly informs information intensity for Plasma control within the frozen research-to-pilot pathway.,observed experimental result,observed experimental result,S-CN-HL3-AI;S-AI-TCV;S-AI-DIII-D;S-AI-KSTAR-D3D,fusion-src-007;fusion-src-017;fusion-src-018;fusion-src-019,supports,direct,exact_stage,frozen_tokamak_pathway,matched,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
