source_id,title_original,title_english,authors_org,year,language,source_type,url_or_doi,reliability_tier,geo_scope,sector_scope,key_claims,useful_indicators,limitations,date_added,added_by,review_status,placeholder,notes
src-v1-dr-001,Time Horizon 1.1,Time Horizon 1.1,METR,2026,English,research_blog,https://metr.org/blog/2026-1-29-time-horizon-1-1/,B,global,cross-cutting,Post-2023 50% time-horizon doubling time about 130.8 days; Claude Opus 4.5 horizon ~320 minutes,time_horizon_50pct; capability_doubling_time,Wide confidence intervals; benchmark tasks easier than real work,2026-07-05,Claude Fable 5,staged,false,Capability-horizon layer input; not country evidence
src-v1-dr-002,How does time horizon vary across domains?,How does time horizon vary across domains?,METR,2025,English,research_blog,https://metr.org/blog/2025-07-14-how-does-time-horizon-vary-across-domains/,B,global,cross-cutting,Time horizons 40-100x shorter in agentic computer use than software/reasoning; physical domains slower,domain_time_horizon,Domains unevenly benchmarked; management and nursing unrepresented,2026-07-05,Claude Fable 5,staged,false,Supports frontier-sensitivity axis of Figure 1
src-v1-dr-003,Clarifying limitations of time horizon,Clarifying limitations of time horizon,METR,2026,English,research_note,https://metr.org/notes/2026-01-22-time-horizon-limitations/,B,global,cross-cutting,50% horizon does not imply safe delegation; real workflows need >99% reliability,none,Self-reported limitations note,2026-07-05,Claude Fable 5,staged,false,Required caveat companion to src-v1-dr-001
src-v1-dr-004,The AI boom has doubled computing infrastructure's share of US GDP,The AI boom has doubled computing infrastructure's share of US GDP,Epoch AI,2026,English,data_insight,https://epoch.ai/data-insights/ai-datacenter-share-gdp,B,united-states,compute-energy,Computing infrastructure ~1.5% of US GDP Q1 2026; AI-specific ~0.8%,ai_capex_share_gdp,Model estimate built on BEA/Census/IDC trend extrapolation,2026-07-05,Claude Fable 5,staged,false,Buildout-channel evidence; model estimate not official statistic
src-v1-dr-005,What separates firms that use AI intensively from firms that don't?,What separates firms that use AI intensively from firms that don't?,European Central Bank,2026,English,official_blog,https://www.ecb.europa.eu/press/blog/date/2026/html/ecb.blog20260624~44f70da110.en.html,A,euro-area,organizational-diffusion,>70% of euro-area firms report some AI use; only ~7% intensive use,ai_adoption_any; ai_adoption_intensive,Survey-based; SAFE sample of ~5000 firms,2026-07-05,Claude Fable 5,staged,false,Core depth-deficit evidence
src-v1-dr-006,20% of EU enterprises use AI technologies,20% of EU enterprises use AI technologies,Eurostat,2025,English,official_statistic,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20251211-2,A,eu,organizational-diffusion,EU-27 enterprise AI adoption 20.0% in 2025; large-firm 55% vs small-firm 17%,ai_adoption_by_size,Extensive-margin measure only,2026-07-05,Claude Fable 5,staged,false,Adoption baseline
src-v1-dr-007,AI use by individuals surges across the OECD,AI use by individuals surges across the OECD as adoption by firms continues to expand,OECD,2026,English,official_statistic,https://www.oecd.org/en/about/news/announcements/2026/01/ai-use-by-individuals-surges-across-the-oecd-as-adoption-by-firms-continues-to-expand.html,A,oecd,organizational-diffusion,OECD firm adoption average 20.2%; doubled from 8.7% two years prior,ai_adoption_firms,Announcement page; underlying database needed for per-country rows,2026-07-05,Claude Fable 5,staged,false,Adoption baseline
src-v1-dr-008,Large Firms With at Least 20 Employees Biggest AI Users,Large Firms With at Least 20 Employees Biggest AI Users,US Census Bureau,2026,English,official_statistic,https://www.census.gov/library/stories/2026/05/ai-use-businesses.html,A,united-states,organizational-diffusion,US firm-weighted AI adoption 17-20% under broadened BTOS phrasing,ai_adoption_firms,Survey-phrasing sensitive; firm-weighted,2026-07-05,Claude Fable 5,staged,false,US adoption baseline
src-v1-dr-009,Monitoring AI Adoption in the US Economy,Monitoring AI Adoption in the US Economy,Federal Reserve Board,2026,English,official_statistic,https://www.federalreserve.gov/econres/notes/feds-notes/monitoring-ai-adoption-in-the-u-s-economy-20260403.html,A,united-states,organizational-diffusion,78% of US labor force works at an AI-adopting firm (employment-weighted SBU),ai_adoption_employment_weighted,Executive-survey based; contrasts with firm-weighted figures,2026-07-05,Claude Fable 5,staged,false,Shows firm- vs employment-weighting divergence
src-v1-dr-010,An AI Adoption Gap Among French Firms?,An AI Adoption Gap Among French Firms?,Banque de France,2026,English,official_analysis,https://www.banque-france.fr/system/files/2026-05/Billet_451_VE.pdf,A,france,organizational-diffusion,French firms lag euro-area AI adoption in every size class and sector,ai_adoption_gap,Single-country analysis of ECB SAFE data,2026-07-05,Claude Fable 5,staged,false,Within-bloc divergence evidence
