indicator_id,concept,pillar,possible_metric,unit,source_ids,coverage,update_frequency,data_quality,directionality,normalization,missingness_policy,evidence_label,qualitative_coding,score,placeholder,notes
ind-v0-dr-001,Frontier model production,frontier_access,Number of notable or frontier-relevant AI models produced by in-country institutions,count per year,src-v0-dr-001,global,annual,high,higher_is_more_access,count; no V0 normalization,mark missing when source lacks country-year value,observed,missing,missing,false,Keep separate from adoption and outcomes
ind-v0-dr-002,Frontier performance gap,frontier_access,Relative benchmark gap between domestic models and frontier models,percentage or benchmark score gap,src-v0-dr-001,global,annual,medium,lower_gap_is_more_access,benchmark-specific; no cross-benchmark averaging in V0,mark missing if benchmark or country model set is not documented,observed,missing,missing,false,Use cautiously because benchmarks are domain-specific and unstable
ind-v0-dr-003,Accelerator access,frontier_access,Availability of compliant frontier GPUs and packaging for domestic actors,mixed; qualitative or count,src-v0-dr-053,global,event-driven,medium,higher_is_more_access,no V0 normalization,mark missing where only rumor or unsourced claims exist,observed,missing,missing,false,Separate chip access from power and data-center readiness
ind-v0-dr-004,Public or subsidized AI compute capacity,frontier_access,Government-supported compute capacity available to firms researchers or agencies,GPUs; PFLOPS; exaFLOPS; credits,src-v0-dr-087;src-v0-dr-085;src-v0-dr-083,selected countries,annual,medium,higher_is_more_access,per researcher or per GDP only after source review,mark official targets separately from delivered capacity,official-claim,missing,missing,false,Values are often official program claims
ind-v0-dr-005,Cloud and model supplier availability,frontier_access,Availability of domestic allied or global cloud and model suppliers to firms and agencies,qualitative basket,src-v0-dr-001;src-v0-dr-082;src-v0-dr-086;src-v0-dr-087,selected countries,annual,low,higher_is_more_access,qualitative coding only in V0,mark missing unless supplier access is documented,qualitative-coded,Requires explicit coding rubric for domestic allied and foreign-access channels,missing,false,Do not infer from GDP or general internet access
ind-v0-dr-006,Energized AI-capable load,conversion_capacity,Operational high-density data-center IT or electric load suitable for AI workloads,MW,src-v0-dr-041;src-v0-dr-042;src-v0-dr-045;src-v0-dr-046,selected regions,annual or filing-based,medium,higher_is_more_capacity,MW and MW per GDP as exploratory views,mark announced but not energized capacity separately,observed,missing,missing,false,Measures deployable load not paper announcements
ind-v0-dr-007,Contracted-to-energized ratio,conversion_capacity,Contracted queued or requested large-load capacity divided by operational energized load,ratio,src-v0-dr-045;src-v0-dr-046,selected grid regions,annual or filing-based,medium,lower_is_less_bottleneck,ratio within same grid region,mark missing when operational load or contracted pipeline is unavailable,observed,missing,missing,false,High ratio indicates bottleneck risk or speculative queue
ind-v0-dr-008,Interconnection delay,conversion_capacity,Median time from interconnection request to commercial operation,years,src-v0-dr-043,United States,annual,high,lower_is_more_capacity,years; use regional distribution not just national median,mark missing outside jurisdictions without comparable series,observed,missing,missing,false,Generation interconnection is a proxy for broader grid throughput
ind-v0-dr-009,Large-load queue saturation,conversion_capacity,Large-load connection requests relative to system peak load,ratio or GW,src-v0-dr-046;src-v0-dr-045,selected grid regions,quarterly or annual,medium,lower_is_less_bottleneck,GW and ratio to peak load,mark missing when queue categories are not disclosed,observed,missing,missing,false,Especially useful for ERCOT and PJM-style load pockets
ind-v0-dr-010,Firm-power coverage,conversion_capacity,Share of expected AI load backed by dispatchable or hourly matched supply,percent,src-v0-dr-041;src-v0-dr-042;src-v0-dr-044;src-v0-dr-049,selected countries or regions,irregular,low,higher_is_more_capacity,percent of expected load where documented,mark missing when only annual renewable claims are available,qualitative-coded,Requires source-backed distinction between annual green claims and hourly deliverability,missing,false,Do not count annual PPAs as firm power without evidence
ind-v0-dr-011,Data-center electricity share,conversion_capacity,Data center or compute-center electricity use as share of national or regional electricity consumption,percent,src-v0-dr-041;src-v0-dr-042;src-v0-dr-047;src-v0-dr-048,selected countries,annual or periodic,medium,context_dependent,percent of electricity consumption,mark missing where compute-center definition is unclear,observed,missing,missing,false,High share can signal scale or bottleneck exposure
ind-v0-dr-012,Water and cooling readiness,conversion_capacity,Direct and indirect water burden plus liquid-cooling readiness for high-density racks,mixed; liters; WUE; qualitative,src-v0-dr-042;src-v0-dr-057;src-v0-dr-041,selected regions,periodic,low,higher_readiness_is_more_capacity,no single V0 normalization,mark missing if water or cooling evidence is not local,qualitative-coded,Requires separate coding for water burden and cooling capability,missing,false,National averages can hide local constraints
ind-v0-dr-013,Siting latency fit,conversion_capacity,Ability to match workload class to data-center geography and latency envelope,qualitative score,src-v0-dr-047;src-v0-dr-051,China; Japan; selected regions,irregular,low,higher_is_more_capacity,qualitative coding only in V0,mark missing unless workload class and latency logic are documented,qualitative-coded,Code remote batch and latency-sensitive inference separately,missing,false,Useful for East Data West Computing and Watt-Bit comparisons
ind-v0-dr-014,Industrial robot density,conversion_capacity,Installed industrial robots per 10000 manufacturing workers,robots per 10000 workers,src-v0-dr-054,global,annual,high,higher_is_more_automation,per 10000 manufacturing workers,mark missing where IFR does not report country-year,observed,missing,missing,false,Hard anchor for manufacturing automation stock
ind-v0-dr-015,Annual robot installations,diffusion_speed,Annual industrial robot installations,count per year,src-v0-dr-054,global,annual,high,higher_is_faster_diffusion,count; compare with manufacturing value added where needed,mark missing where source lacks country-year value,observed,missing,missing,false,Tracks current automation investment flow
ind-v0-dr-016,Operational robot stock,conversion_capacity,Operational stock of industrial robots,count,src-v0-dr-054,global,annual,high,higher_is_more_capacity,count and per manufacturing worker,mark missing where source lacks country-year value,observed,missing,missing,false,Use alongside density to separate scale and intensity
